Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
2210;0,08;0,0121;0,6625;-0,0524;343,1547;0,0423;359,6890;True;False;0,0000;0,0000;0,0000;0,0000;90,0000;0,0000;0,0000;0,0000;0,0000;-152,7756;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2215;0,16;0,0138;0,6597;-0,0569;344,1585;0,4612;359,7249;True;False;0,0000;0,0000;0,0000;0,0000;90,0000;0,0000;0,0000;0,0000;0,0000;-151,9182;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2220;0,24;0,0170;0,6536;-0,0562;348,8987;1,8493;359,2570;True;False;0,0000;0,0000;0,0000;0,0000;90,0000;0,0000;0,0000;0,0000;0,0000;-153,0788;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2230;0,38;0,0236;0,6361;-0,0469;0,9932;4,9407;359,8794;True;False;0,0000;0,0000;0,0000;0,0000;90,0000;0,0000;0,0000;0,0000;0,0000;-153,9166;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2240;0,52;0,0273;0,6156;-0,0383;13,3953;7,5520;0,8861;True;False;0,0000;0,0000;0,0000;0,0000;90,0000;0,0000;0,0000;0,0000;0,0000;-147,3365;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2245;0,58;0,0284;0,6070;-0,0346;17,8274;9,0366;0,5733;True;True;0,1952;0,2765;0,0161;46,9515;347,8073;301,8684;2,2074;-2,6396;0,1270;-149,6045;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2250;0,6399999;0,0301;0,6001;-0,0325;20,9783;10,5949;1,2982;True;True;0,2229;0,2879;-0,0155;28,7610;13,2632;311,9234;0,7485;0,8555;-0,5544;149,5782;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2260;0,7799998;0,0341;0,5962;-0,0274;22,2176;13,6157;1,7529;True;True;0,2621;0,3888;0,0315;29,4388;31,6421;284,5367;-0,2217;0,9292;0,6795;163,9013;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2270;0,9199997;0,0361;0,5959;-0,0202;22,1429;14,9294;1,5369;True;True;0,2572;0,4306;0,1334;24,2454;58,2538;319,9104;-0,1482;0,0926;0,4411;-167,5726;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2280;1,06;0,0325;0,5954;-0,0114;22,2724;13,6582;1,7862;True;True;0,2466;0,3657;0,2597;357,7793;63,1848;356,9780;0,0924;-0,1532;0,5061;-176,9945;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2285;1,12;0,0299;0,5948;-0,0077;22,5559;12,9080;1,6800;True;True;0,2329;0,3358;0,2666;356,1186;64,4850;10,4729;-0,2504;-0,3591;0,0056;-178,6287;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2290;1,199999;0,0275;0,5950;-0,0052;22,4891;12,3704;1,8530;True;True;0,2345;0,3156;0,2895;352,6740;62,5947;15,1483;0,0341;-0,3286;0,4336;177,0973;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2295;1,259999;0,0253;0,5952;-0,0039;22,3607;12,1829;1,8168;True;True;0,2357;0,3123;0,2803;1,1728;65,9970;14,9126;-0,0900;0,1261;-0,3780;174,7736;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2300;1,339999;0,0233;0,5955;-0,0024;22,0714;11,9522;1,8266;True;True;0,2290;0,3299;0,2735;2,0075;68,2914;10,1691;-0,1043;0,1939;-0,0075;171,6784;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2305;1,399999;0,0221;0,5965;-0,0018;21,7337;11,9007;1,9171;True;True;0,2315;0,3437;0,2682;4,7059;69,2613;358,1075;0,1265;0,3035;-0,0360;171,6652;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2310;1,479999;0,0214;0,5973;-0,0007;21,4372;11,8189;2,1161;True;True;0,2321;0,3762;0,2750;4,1336;66,4168;346,9486;-0,0272;0,2921;0,1097;176,4665;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2315;1,539999;0,0201;0,5977;-0,0002;21,1855;11,6690;2,2917;True;True;0,2092;0,4060;0,2631;4,6914;68,4149;339,4059;-0,5368;0,2600;-0,0959;-176,0329;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
2320;1,619999;0,0189;0,5988;0,0010;20,6111;11,6381;2,7023;True;True;0,2080;0,4091;0,2723;7,9721;68,7899;338,9361;0,0122;-0,0532;0,0287;-171,1254;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
