Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
19125;0,24;0,0050;0,9375;0,0123;13,8873;6,3880;359,3080;True;True;0,1765;0,5891;0,1820;4,9798;51,3360;300,7200;-0,0010;-0,0039;-0,0053;-125,7883;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
19130;0,32;0,0052;0,9377;0,0123;13,8339;6,6691;359,5362;True;True;0,1770;0,5893;0,1817;5,6612;51,1310;301,2063;0,0107;0,0052;-0,0084;-125,9075;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
19135;0,38;0,0053;0,9377;0,0124;13,8579;6,8475;359,5215;True;True;0,1778;0,5895;0,1815;7,1528;51,0043;301,7765;0,0095;0,0053;-0,0101;-126,6876;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
19145;0,52;0,0044;0,9363;0,0132;14,9154;7,3239;359,3193;True;True;0,1797;0,6174;0,1962;16,9056;56,1771;302,5443;0,0148;0,5069;0,3127;-132,4434;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
19155;0,6599999;0,0017;0,9354;0,0140;15,7346;7,7379;359,6924;True;True;0,1745;0,6181;0,2319;16,3262;70,5213;335,0042;-0,0363;-0,4477;0,7469;-149,5174;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
19165;0,7999998;-0,0032;0,9320;0,0184;16,7291;6,2870;0,4968;True;True;0,1639;0,6563;0,2444;8,9419;70,1088;336,1397;-0,0148;0,8813;0,0999;-157,3823;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;6bf24234-ca6e-496c-a5ef-92728168211b;False;
19175;0,9399996;-0,0034;0,9316;0,0180;17,4095;6,2268;0,3307;True;True;0,1021;0,7156;0,2401;15,3898;55,8080;307,6713;-0,3356;0,0777;0,0177;-150,3588;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;6bf24234-ca6e-496c-a5ef-92728168211b;False;
19185;1,08;-0,0059;0,9328;0,0180;16,9423;7,1422;1,0771;True;True;0,0755;0,6545;0,2560;19,9394;37,4799;325,1615;0,1224;-0,0579;0,0767;-142,1048;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
19195;1,219999;-0,0087;0,9306;0,0199;17,5630;6,0795;2,0989;True;True;0,1688;0,6550;0,2613;26,0829;50,2122;324,9847;0,2512;0,2475;0,1185;-146,0310;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
19200;1,279999;-0,0081;0,9307;0,0203;17,7103;5,9890;1,9082;True;True;0,1932;0,6297;0,2855;28,2964;62,3745;325,7082;0,4186;-0,7802;0,6631;-146,5202;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
