Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
32345;0,22;0,0986;0,9907;-0,0227;16,8508;7,6043;1,2618;True;True;0,3120;0,5983;0,2184;37,1153;277,2620;177,8911;0,0034;-0,0012;-0,0058;160,0265;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
32355;0,36;0,0990;0,9885;-0,0211;18,5588;8,9292;1,6221;True;True;0,3110;0,5981;0,2187;40,8859;279,8370;178,6941;-0,0294;0,0234;0,0277;159,5981;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
32365;0,5000001;0,0979;0,9854;-0,0175;19,9888;11,3936;3,6019;True;True;0,3089;0,6279;0,2205;69,2127;323,5778;219,3087;0,0883;0,3395;-0,1768;155,4207;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
32375;0,6399999;0,0947;0,9828;-0,0146;21,1023;11,3079;4,0171;True;True;0,2933;0,6509;0,1862;44,0591;60,0737;321,5414;-0,2796;0,0929;0,0785;146,3508;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
32385;0,7799998;0,0895;0,9824;-0,0124;21,2702;10,7591;4,4884;True;True;0,2917;0,6289;0,2045;13,2227;73,2983;349,8752;0,0265;0,0617;0,0219;-145,0644;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
32395;0,9199997;0,0849;0,9808;-0,0102;21,8954;9,8519;5,0046;True;True;0,2797;0,6857;0,2234;17,5696;63,2558;329,5523;-0,1423;0,5497;0,1423;-143,5707;True;False;False;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;251b3e33-582d-49d3-9997-84c17a7165c2;False;
32405;1,06;0,0829;0,9803;-0,0103;22,1864;8,6089;4,4452;True;True;0,2221;0,7350;0,2274;17,2306;52,3729;307,7749;-0,3617;0,1995;0,0575;138,5011;True;False;False;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;251b3e33-582d-49d3-9997-84c17a7165c2;False;
32410;1,12;0,0818;0,9809;-0,0117;21,9707;7,8319;3,8695;True;True;0,1821;0,7341;0,2318;14,1928;39,8015;299,0069;-0,7682;-0,1776;0,0318;-133,5492;True;False;False;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;251b3e33-582d-49d3-9997-84c17a7165c2;False;
32415;1,199999;0,0800;0,9817;-0,0132;21,8599;7,4627;3,7356;True;True;0,1586;0,7138;0,2262;18,4615;38,8776;316,7127;-0,1116;-0,4356;0,0956;-133,5359;True;False;False;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;251b3e33-582d-49d3-9997-84c17a7165c2;False;
32420;1,259999;0,0780;0,9829;-0,0136;21,4534;6,9239;3,5007;True;True;0,1425;0,6821;0,2233;22,6512;43,1298;344,1302;-0,2167;-0,4670;-0,0532;-139,9062;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;251b3e33-582d-49d3-9997-84c17a7165c2;False;
32425;1,339999;0,0755;0,9831;-0,0124;21,1934;6,3317;3,4682;True;True;0,1466;0,6635;0,2255;19,3928;49,9578;11,0368;0,1786;0,0866;0,0359;-147,2529;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
