Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
13265;0,02;0,0026;0,9571;0,0032;4,1993;1,8534;0,2734;True;True;0,1792;0,6009;0,1715;10,4377;48,7363;302,2721;8,9580;30,0471;8,5774;166,0388;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
13270;0,09999999;0,0032;0,9569;0,0037;4,3853;2,1267;0,2193;True;True;0,1791;0,6007;0,1716;10,7996;48,5053;302,5042;-0,0040;-0,0059;0,0057;166,2194;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
13275;0,18;0,0031;0,9564;0,0039;4,7582;2,0692;0,1964;True;True;0,1796;0,6002;0,1718;10,5497;48,5661;302,6083;-0,0012;0,0041;0,0025;165,9335;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
13280;0,24;0,0033;0,9552;0,0041;5,6510;2,1611;359,9305;True;True;0,1795;0,6003;0,1719;10,2733;48,5112;302,5541;-0,0064;0,0054;0,0009;165,9280;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
13285;0,32;0,0048;0,9510;0,0054;8,2498;2,9170;359,7705;True;True;0,1798;0,6005;0,1721;10,2535;48,4836;301,7825;0,0145;0,0039;0,0069;165,8392;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
13290;0,38;0,0084;0,9443;0,0083;12,3902;5,8880;359,6137;True;True;0,1819;0,6069;0,1766;9,0065;48,7625;299,1788;0,0477;0,2088;0,1127;166,2571;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
13295;0,4600001;0,0135;0,9361;0,0116;17,4241;10,0789;0,5323;True;True;0,1959;0,6308;0,1717;10,7933;48,2161;299,7512;0,1751;0,2177;-0,1082;166,2124;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
13300;0,52;0,0179;0,9292;0,0159;20,6536;13,4174;1,5792;True;True;0,2156;0,6543;0,1548;17,8239;52,5207;305,3862;0,3507;0,6854;-0,3243;165,7560;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
13305;0,6;0,0219;0,9233;0,0195;23,2600;15,2094;2,1069;True;True;0,2465;0,6717;0,1546;20,0850;62,0457;309,0458;0,2761;0,1896;-0,0038;165,3716;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
13310;0,6599999;0,0261;0,9198;0,0204;24,9286;16,8828;2,4979;True;True;0,2708;0,6817;0,1602;18,9204;72,1425;314,5214;0,3754;0,3901;-0,2233;165,8157;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
13320;0,7999998;0,0305;0,9186;0,0211;25,3233;17,2500;2,0980;True;True;0,2525;0,6742;0,1641;14,2132;81,7740;335,1701;-0,1167;-0,1078;0,2609;158,1745;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
13330;0,9399996;0,0270;0,9204;0,0222;24,3899;15,6040;1,0522;True;True;0,2181;0,6437;0,1873;9,0877;73,6119;354,6012;-0,5335;0,3534;0,2189;146,7980;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
13340;1,08;0,0240;0,9190;0,0226;25,2473;13,9229;1,2088;True;True;0,1935;0,7342;0,1981;10,1173;67,2001;331,8597;-0,3946;0,6245;-0,0992;154,0225;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;e1f24ac9-3435-4491-b998-f5a307e2a24d;False;
13350;1,219999;0,0248;0,9201;0,0217;24,7123;14,9981;1,3913;True;True;0,0950;0,7073;0,2179;22,6373;33,1179;305,9544;-0,5269;-0,5268;0,2573;166,8471;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;e1f24ac9-3435-4491-b998-f5a307e2a24d;False;
13360;1,359999;0,0181;0,9201;0,0251;24,3460;15,0819;2,2802;True;True;0,1475;0,6657;0,2401;14,2446;36,8043;333,2904;0,4612;0,0392;0,0012;155,1187;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
13365;1,419999;0,0157;0,9191;0,0249;24,6569;14,5178;2,7192;True;True;0,2271;0,6962;0,2233;20,0209;43,3150;327,4199;1,6913;0,3966;0,1445;155,5076;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
13370;1,499999;0,0156;0,9197;0,0234;24,8538;14,1603;3,1586;True;True;0,2948;0,6563;0,2535;19,1475;63,4604;327,3940;0,5584;-0,6099;0,5046;159,5999;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
13375;1,559999;0,0164;0,9214;0,0233;24,4410;13,9715;2,6163;True;True;0,2947;0,6322;0,2530;10,6803;76,1588;335,4943;-0,6657;-0,1128;-0,3961;160,6656;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
13380;1,639999;0,0166;0,9220;0,0234;24,3502;13,3656;2,3679;True;True;0,2630;0,6214;0,2751;11,6145;83,2670;344,4102;-0,0528;-0,0113;0,4036;155,8365;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
13385;1,699999;0,0149;0,9217;0,0257;23,9601;12,4484;2,0606;True;True;0,2644;0,6348;0,3034;7,6460;82,0167;344,3658;-0,1118;0,2472;0,4573;155,5578;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
13390;1,779999;0,0135;0,9206;0,0251;24,6628;11,9370;2,0684;True;True;0,2299;0,7014;0,3012;3,5955;75,1316;332,8258;-0,3585;0,5791;-0,0787;163,7599;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;9bf9bd75-e3a1-4f3e-8376-f0145bea7620;False;
13395;1,839999;0,0128;0,9207;0,0230;24,7110;12,1161;2,0712;True;True;0,1548;0,7427;0,2662;11,4543;66,2201;321,5228;-1,4716;0,0105;-0,0733;165,9561;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;9bf9bd75-e3a1-4f3e-8376-f0145bea7620;False;
13405;1,979999;0,0105;0,9230;0,0218;23,5174;13,2753;2,4338;True;True;0,0592;0,6734;0,2455;17,5903;45,1603;318,1979;-0,5239;-0,8856;-0,0294;165,5934;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;9bf9bd75-e3a1-4f3e-8376-f0145bea7620;False;
13410;2,059999;0,0086;0,9229;0,0233;23,3052;14,1377;2,3852;True;True;0,0799;0,6367;0,2618;18,8523;41,5746;332,4073;0,3769;-0,4102;0,2800;159,6283;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
13415;2,119999;0,0073;0,9215;0,0243;23,5087;15,1587;3,3467;True;True;0,1429;0,6603;0,2444;17,4026;37,0172;335,9961;1,4029;0,5704;-0,4451;153,4727;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
13425;2,259999;0,0105;0,9208;0,0230;23,2922;19,1495;5,6855;True;True;0,3168;0,6728;0,2072;16,3723;66,9730;329,6016;1,4077;-0,4276;-0,2241;159,5791;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
