Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
20975;0,22;-0,0091;1,0056;0,0352;17,9499;3,6528;0,7100;True;True;0,2277;0,8282;0,1981;5,4109;54,2440;340,9608;0,0878;-0,1105;0,0317;151,3384;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
20980;0,3;-0,0086;1,0044;0,0352;18,6864;3,9623;0,7284;True;True;0,2290;0,8251;0,1974;5,4634;54,5244;342,8875;0,0125;-0,0371;0,0070;149,9481;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
20985;0,36;-0,0069;1,0008;0,0351;20,3890;4,8939;0,6940;True;True;0,2319;0,8201;0,2004;5,0456;53,5775;347,3676;0,0651;-0,1151;0,0770;148,3439;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
20990;0,4400001;-0,0041;0,9965;0,0343;22,5006;6,5455;1,1193;True;True;0,2322;0,8132;0,2049;3,5930;56,5451;359,2301;0,0121;-0,1051;0,0881;147,2682;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
20995;0,5000001;-0,0010;0,9942;0,0338;23,4409;8,4756;1,5066;True;True;0,2257;0,7939;0,2136;8,7045;62,3582;13,8798;-0,1990;-0,4859;0,2913;-149,4453;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21000;0,58;0,0015;0,9927;0,0326;24,4631;9,7552;1,5694;True;True;0,2353;0,7411;0,2469;357,6552;59,8710;14,5780;0,1362;-0,5090;0,2819;-149,8431;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21005;0,6399999;0,0031;0,9922;0,0325;24,7749;10,7386;1,6730;True;True;0,2207;0,7055;0,2655;355,5395;56,7510;3,9778;-0,3186;-0,4613;0,3341;-146,6876;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21010;0,7199998;0,0046;0,9918;0,0345;24,7731;11,2020;1,7781;True;True;0,2205;0,7262;0,2551;5,3237;60,1075;354,4331;0,0051;0,7095;-0,3111;-142,3123;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;6014be89-08e0-446b-b537-eb02e33a1085;False;
21020;0,8599997;0,0115;0,9892;0,0366;26,1935;12,3726;1,4196;True;True;0,1662;0,8408;0,2525;3,4090;53,8358;333,1495;-0,5051;0,3249;-0,1466;147,2374;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;6014be89-08e0-446b-b537-eb02e33a1085;False;
21025;0,9399996;0,0147;0,9885;0,0357;26,4243;12,7998;0,8037;True;True;0,1315;0,8415;0,2586;9,9799;41,5209;321,5549;-0,4345;-0,1748;0,0945;144,4701;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;6014be89-08e0-446b-b537-eb02e33a1085;False;
21030;0,9999996;0,0176;0,9880;0,0340;26,4889;13,2818;0,5829;True;True;0,0715;0,7974;0,2593;11,9801;35,2116;319,9680;-0,9608;-0,8483;0,0234;-142,7875;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;6014be89-08e0-446b-b537-eb02e33a1085;False;
21035;1,08;0,0186;0,9875;0,0328;26,3898;14,1890;0,7877;True;True;0,0513;0,7407;0,2430;15,9214;33,1242;328,8616;0,0162;-0,4688;-0,0537;-144,9430;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;6014be89-08e0-446b-b537-eb02e33a1085;False;
21040;1,14;0,0153;0,9868;0,0349;26,5404;14,7519;1,1946;True;True;0,1073;0,7146;0,2633;10,6695;30,3687;352,4928;2,1325;-0,1050;0,4743;-144,5226;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21045;1,219999;0,0112;0,9864;0,0376;26,9792;14,5185;1,8254;True;True;0,1607;0,7485;0,2596;0,4976;40,3916;22,6798;0,2074;0,0251;-0,0885;-133,6307;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
21050;1,279999;0,0085;0,9866;0,0398;26,8518;13,9991;2,4539;True;True;0,2228;0,7818;0,2507;347,5997;52,1793;25,6867;1,4751;1,1475;-0,1752;-140,6344;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21060;1,419999;0,0102;0,9872;0,0406;26,5517;13,0330;2,5605;True;True;0,2517;0,7724;0,2650;336,9595;60,8287;21,0885;0,0940;0,0286;0,4514;-150,2087;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21070;1,559999;0,0173;0,9880;0,0395;26,2814;13,4944;1,4989;True;True;0,1837;0,8419;0,2872;353,6731;54,4054;349,1422;-0,8061;0,1999;0,0472;-143,6545;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;cdbd20ef-575b-4f4e-b33c-884d1ca852bf;False;
21080;1,699999;0,0193;0,9884;0,0382;26,4751;13,9539;359,9098;True;True;0,0964;0,8215;0,2856;1,6072;41,9574;329,0766;-0,5538;-0,1175;-0,3033;-143,7921;True;False;False;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;cdbd20ef-575b-4f4e-b33c-884d1ca852bf;False;
21090;1,839999;0,0138;0,9877;0,0374;26,2503;14,1463;0,6421;True;True;0,0322;0,7362;0,2528;21,1317;26,0685;330,6746;0,0165;-0,3040;-0,2426;-144,0510;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21100;1,979999;0,0000;0,9860;0,0397;26,9427;13,0134;1,7546;True;True;0,1446;0,7456;0,2802;11,6652;33,6653;0,5493;0,8260;0,0736;0,2983;-137,2985;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
21105;2,039999;-0,0059;0,9866;0,0418;26,5520;12,1738;2,7732;True;True;0,2092;0,7635;0,2860;355,7144;44,6164;19,7723;1,2545;0,4455;0,0098;-135,8189;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21110;2,119999;-0,0091;0,9870;0,0428;26,4918;11,3228;3,2937;True;True;0,2292;0,7576;0,2709;345,1805;59,6166;24,1757;-0,1491;-0,1067;-0,1001;-135,8290;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21115;2,179999;-0,0104;0,9872;0,0440;26,3251;10,5358;3,3996;True;True;0,2284;0,7589;0,2766;329,8479;64,3973;26,5000;-0,0560;0,1503;0,2282;-148,4108;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21120;2,259999;-0,0089;0,9872;0,0451;26,3746;10,4571;2,9378;True;True;0,2158;0,7917;0,2956;345,3307;66,9238;8,7601;-0,0452;0,3090;0,2008;-152,3168;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;8e338451-ab4a-41a3-8efd-78edcf6dab31;False;
21125;2,319999;-0,0063;0,9868;0,0458;26,6360;10,9910;2,7135;True;True;0,1788;0,8203;0,3383;355,3656;56,6550;347,7442;-1,0496;0,5149;0,8132;-148,9444;True;False;False;1,0000;0,9226;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;8e338451-ab4a-41a3-8efd-78edcf6dab31;False;
21130;2,399998;-0,0041;0,9865;0,0458;26,8973;11,4097;2,1626;True;True;0,0985;0,8377;0,3265;359,3408;44,9837;326,1696;-0,6564;0,0775;-0,1552;-148,7346;True;False;False;1,0000;1,0000;1,0000;0,9428;0,0000;0,0000;0,0000;0,0000;8e338451-ab4a-41a3-8efd-78edcf6dab31;False;
21135;2,459998;-0,0031;0,9868;0,0452;26,8645;11,9221;1,6776;True;True;0,0362;0,8198;0,3150;6,6164;35,6406;318,0016;-1,0768;-0,6310;-0,4574;-145,9604;True;False;False;1,0000;1,0000;1,0000;0,3831;0,0000;0,0000;0,0000;0,0000;8e338451-ab4a-41a3-8efd-78edcf6dab31;False;
21140;2,539998;-0,0045;0,9871;0,0444;26,6235;12,2902;1,7462;True;True;0,0059;0,7834;0,3089;11,8252;24,6496;322,1270;-0,0009;-0,4541;-0,2870;-141,7164;True;False;False;1,0000;1,0000;1,0000;0,8286;0,0000;0,0000;0,0000;0,0000;8e338451-ab4a-41a3-8efd-78edcf6dab31;False;
21145;2,599998;-0,0087;0,9869;0,0437;26,4059;12,2938;2,0296;True;True;0,0153;0,7610;0,2886;15,4571;21,0597;349,4015;0,0055;-0,5160;-0,1668;-140,7101;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21155;2,739998;-0,0199;0,9895;0,0424;24,9852;10,9821;3,1037;True;True;0,1266;0,7353;0,2862;2,8111;35,2584;26,7255;1,2520;-0,0965;0,1064;-133,7289;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
21165;2,879998;-0,0243;0,9933;0,0393;23,2458;8,7991;3,8304;True;True;0,1657;0,7574;0,2788;337,7501;53,2054;20,6079;0,2843;0,4206;0,0687;-139,4863;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21175;3,019998;-0,0210;0,9975;0,0375;21,7796;8,2863;3,0752;True;True;0,1603;0,8107;0,3476;338,7360;58,0941;8,5523;0,1468;-0,0269;0,7049;-149,0047;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;5b63b611-49d4-4ed3-a994-eb60e516bd37;False;
21185;3,159998;-0,0161;0,9990;0,0358;21,3247;8,0999;1,1246;True;True;0,0452;0,8393;0,3127;0,0084;45,8896;335,3578;-0,5066;0,0211;-0,0958;-148,2926;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;5b63b611-49d4-4ed3-a994-eb60e516bd37;False;
21195;3,299998;-0,0159;0,9985;0,0318;21,2256;8,3597;0,3851;True;True;-0,0150;0,7726;0,2851;15,1457;26,8623;330,9421;0,2884;-0,5717;-0,1885;-143,0750;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;5b63b611-49d4-4ed3-a994-eb60e516bd37;False;
21205;3,439997;-0,0238;1,0045;0,0253;19,0959;6,5787;0,4841;True;True;0,0555;0,7286;0,2762;6,6666;34,1222;5,2749;0,1721;-0,1660;-0,4731;-137,7280;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21210;3,499997;-0,0253;1,0068;0,0210;17,8813;5,2528;1,2560;True;True;0,0927;0,7221;0,2757;358,0414;38,2378;11,0814;0,4848;0,0601;0,3330;-142,1623;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
21215;3,579997;-0,0250;1,0087;0,0169;17,4707;3,9823;0,6424;True;True;0,0881;0,7377;0,2812;353,4973;45,3923;10,5632;0,0300;0,3233;-0,0051;-146,6551;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21220;3,639997;-0,0229;1,0106;0,0119;16,9840;2,8442;0,1834;True;True;0,0998;0,7768;0,2993;348,6810;52,7824;6,9984;0,0984;0,9427;0,7157;-153,9550;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;1abef29e-a879-4c5d-8699-aa2921e6f7a8;False;
21225;3,719997;-0,0191;1,0126;0,0069;16,4042;2,3519;359,3311;True;True;0,0890;0,8225;0,3208;351,2726;56,1262;357,3949;-0,4316;0,5071;-0,2011;-153,3347;True;False;False;1,0000;0,8331;0,8015;1,0000;0,0000;0,0000;0,0000;0,0000;1abef29e-a879-4c5d-8699-aa2921e6f7a8;False;
21230;3,779997;-0,0142;1,0142;0,0027;16,0114;2,4159;358,4918;True;True;0,0643;0,8407;0,3210;359,0612;56,0852;347,2503;-0,3634;0,0623;0,1962;-156,4759;True;False;False;1,0000;0,7534;0,6740;1,0000;0,0000;0,0000;0,0000;0,0000;1abef29e-a879-4c5d-8699-aa2921e6f7a8;False;
21240;3,919997;-0,0042;1,0151;-0,0046;15,1802;4,9643;357,4015;True;True;-0,0259;0,7911;0,2897;15,3286;30,1585;328,2512;-1,0438;-0,5504;-0,0951;-141,2700;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;1abef29e-a879-4c5d-8699-aa2921e6f7a8;False;
21250;4,059997;-0,0033;1,0144;-0,0079;15,4317;8,7270;357,9837;True;True;0,0380;0,7482;0,2951;13,7430;25,4857;10,5031;1,3201;0,2998;-0,1164;-135,6586;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
21260;4,199997;-0,0053;1,0111;-0,0068;16,6424;12,2790;0,3473;True;True;0,1967;0,7600;0,2906;0,1649;45,6913;18,9969;0,8103;-0,0257;0,0253;-136,5786;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21270;4,339997;-0,0026;1,0063;-0,0101;17,8560;13,1050;1,8854;True;True;0,2244;0,7503;0,2637;339,0943;77,3945;19,0437;0,0547;-0,2835;0,6866;-171,3599;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
21280;4,479997;0,0031;1,0060;-0,0147;17,8278;12,1263;1,2740;True;True;0,2540;0,7918;0,2934;343,5593;89,1681;8,2632;-0,0661;0,0203;0,3589;-172,4297;True;False;False;1,0000;0,9979;0,8289;1,0000;0,0000;0,0000;0,0000;0,0000;3d34fbe4-0d97-4b92-804d-757e93a0983b;False;
21290;4,619997;0,0079;1,0084;-0,0159;17,1065;11,5586;358,7216;True;True;0,1130;0,8419;0,2941;3,2359;71,8031;343,9488;-0,5825;-0,0859;-0,2049;-159,6213;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;3d34fbe4-0d97-4b92-804d-757e93a0983b;False;
21300;4,759996;0,0072;1,0092;-0,0138;17,0376;11,2616;357,6065;True;True;0,0057;0,7583;0,2954;17,1640;39,4572;332,5688;-0,4558;-0,3994;-0,0175;-151,3474;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;3d34fbe4-0d97-4b92-804d-757e93a0983b;False;
