Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
48490;0,02;-0,0103;0,9873;-0,0296;10,5966;2,8121;3,5003;True;True;0,2531;0,5927;0,1750;41,8357;70,6535;300,4791;12,6536;29,6346;8,7503;138,8705;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
48495;0,09999999;-0,0041;0,9855;-0,0287;11,9125;5,3414;2,1263;True;True;0,2579;0,5937;0,1755;41,9591;72,8070;299,6877;-0,0001;0,0211;0,0164;138,4989;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
48500;0,18;-0,0009;0,9837;-0,0277;13,0878;6,8744;1,4050;True;True;0,2573;0,5959;0,1755;46,1035;67,8762;296,0124;-0,0139;0,0457;-0,0128;138,8829;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
48510;0,32;0,0031;0,9793;-0,0250;16,5024;9,4100;1,1491;True;True;0,2596;0,6009;0,1730;45,1671;68,1124;298,0738;0,0852;-0,0311;0,0353;140,5693;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
48520;0,4600001;0,0040;0,9722;-0,0207;20,4438;11,7601;2,1343;True;True;0,2627;0,6088;0,1745;32,8442;72,1032;312,2720;-0,0250;0,0848;-0,0010;142,0050;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
48530;0,6;0,0030;0,9681;-0,0166;22,7188;12,2591;1,9430;True;True;0,2379;0,6265;0,1918;23,8604;79,5606;339,9556;-0,1708;0,1323;0,1474;-154,0504;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
48540;0,7399998;-0,0017;0,9670;-0,0108;23,2115;12,3154;2,6052;True;True;0,2333;0,6336;0,2112;24,0694;83,2972;352,9159;0,0465;-0,0356;0,0491;-163,5293;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
48550;0,8799997;-0,0076;0,9635;-0,0041;24,1122;11,3524;2,6688;True;True;0,2441;0,6196;0,2366;13,7110;72,9566;334,7322;0,1059;-0,0459;0,0770;-154,4327;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
48560;1,02;-0,0106;0,9610;0,0009;24,9199;11,3819;2,9977;True;True;0,2095;0,6632;0,2831;19,1190;74,7106;324,6223;-0,2192;0,2852;0,0860;-147,7909;True;False;False;1,0000;1,0000;1,0000;0,2251;0,0000;0,0000;0,0000;0,0000;e0757328-f492-4f51-be5e-48a38adcb340;False;
48570;1,159999;-0,0133;0,9611;0,0032;24,9568;10,3386;2,6878;True;True;0,1295;0,7262;0,2782;27,5021;46,4330;307,6573;-0,4269;0,2386;-0,0160;-149,0313;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;e0757328-f492-4f51-be5e-48a38adcb340;False;
48580;1,299999;-0,0158;0,9628;0,0015;24,2439;9,5310;2,3198;True;True;0,0691;0,6787;0,2725;32,5942;41,4282;322,8679;-0,1649;-0,3322;-0,0515;-151,1385;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;e0757328-f492-4f51-be5e-48a38adcb340;False;
48585;1,359999;-0,0180;0,9635;0,0011;23,6117;9,3369;2,6570;True;True;0,0733;0,6547;0,2706;30,0627;46,0713;344,4879;-0,0496;-0,3880;-0,0711;-156,9944;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
48590;1,439999;-0,0201;0,9632;0,0013;23,4171;9,1419;2,9235;True;True;0,1021;0,6375;0,2687;23,8037;53,0061;5,1452;0,2876;-0,0275;-0,1130;-160,4635;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
48595;1,499999;-0,0211;0,9627;0,0017;23,5271;9,0922;3,3307;True;True;0,1394;0,6434;0,2710;24,0007;65,4002;4,2255;0,9693;-0,0656;0,1726;-164,0043;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
48600;1,579999;-0,0214;0,9628;0,0025;23,4286;9,3827;3,3164;True;True;0,1763;0,6150;0,2715;22,0133;73,6423;353,6992;0,5029;-0,4290;-0,2142;-156,9099;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
