Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
29375;0,08;-0,0744;0,6553;-0,0911;2,9525;5,8848;357,5197;True;True;0,0291;0,2864;0,0898;12,6154;49,2927;290,1396;0,0216;0,0001;-0,0050;-119,8658;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
29380;0,16;-0,0749;0,6592;-0,0908;0,4461;5,8908;357,9980;True;True;0,0301;0,2861;0,0897;12,6499;47,4804;290,4481;0,0020;0,0067;0,0011;-120,5314;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
29385;0,22;-0,0749;0,6600;-0,0939;359,1355;6,7197;358,4173;True;True;0,0303;0,2864;0,0885;13,9101;46,5414;291,1458;0,0005;0,0037;-0,0297;-121,4479;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
29390;0,3;-0,0753;0,6584;-0,0968;0,3291;7,2546;358,5663;True;True;0,0296;0,2845;0,0881;14,2958;47,5878;292,0541;-0,0164;-0,0413;0,0096;-122,4807;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
29400;0,4400001;-0,0783;0,6502;-0,0942;7,1150;6,6777;358,9291;True;True;0,0420;0,3156;0,0925;14,7404;48,3693;298,4939;0,2672;0,6875;0,0591;-127,0339;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
29410;0,58;-0,0804;0,6387;-0,0851;15,1395;6,1527;0,1221;True;True;0,1084;0,4182;0,0739;18,2008;68,5602;331,0547;0,2503;0,1968;0,1935;-154,5277;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
29415;0,6399999;-0,0814;0,6355;-0,0816;17,5002;6,0546;0,4261;True;True;0,0895;0,4088;0,1082;13,5776;72,6573;323,4916;-0,4512;-0,5662;0,8106;-155,7097;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
29420;0,7199998;-0,0826;0,6333;-0,0799;18,8483;5,8903;0,3501;True;True;0,0816;0,3564;0,1631;0,4457;72,2723;339,5892;-0,1095;-0,7443;1,0053;-150,8644;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
29425;0,7799998;-0,0841;0,6323;-0,0779;19,0353;5,7628;0,3510;True;True;0,0436;0,3656;0,1848;3,4884;70,7192;6,9686;-0,1751;0,0959;0,2549;-159,8565;True;True;False;0,7357;0,0794;0,1452;0,0000;0,2674;0,2220;0,2612;0,2934;e1d34071-ac5c-4f1a-b2d6-af0692f1d9ce;False;
29430;0,8599997;-0,0853;0,6307;-0,0781;19,7991;5,4185;0,1443;True;True;0,0420;0,3782;0,1665;11,1620;62,8041;350,0865;-0,0566;0,4411;-0,1653;-167,7053;True;True;False;1,0000;0,8812;0,9329;0,9041;0,3544;0,3965;0,4348;0,4274;e1d34071-ac5c-4f1a-b2d6-af0692f1d9ce;False;
29435;0,9199997;-0,0855;0,6308;-0,0780;19,8202;5,4507;0,0597;True;True;0,0270;0,4353;0,1455;15,8015;59,0248;331,4698;-0,3034;1,0302;-0,4180;-163,2330;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5105;0,5640;0,6164;0,6163;e1d34071-ac5c-4f1a-b2d6-af0692f1d9ce;False;
29440;0,9999996;-0,0842;0,6314;-0,0772;19,6519;5,8155;359,9531;True;True;0,0086;0,4451;0,1520;17,2098;55,9425;316,3477;-0,2837;-0,1212;0,3514;-156,5779;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5152;0,5542;0,5987;0,6048;e1d34071-ac5c-4f1a-b2d6-af0692f1d9ce;False;
29445;1,06;-0,0817;0,6309;-0,0779;19,6760;5,9076;0,0113;True;True;-0,0704;0,4132;0,1500;16,4528;47,3934;294,9286;-2,2741;-0,9265;-0,5210;-141,8680;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5048;0,5465;0,5751;0,5565;e1d34071-ac5c-4f1a-b2d6-af0692f1d9ce;False;
29450;1,14;-0,0801;0,6323;-0,0775;19,4772;6,6415;0,2777;True;True;-0,1007;0,3645;0,1592;15,2009;39,7258;291,0052;0,4398;-0,5090;0,3605;-122,9939;True;True;False;1,0000;1,0000;1,0000;1,0000;0,4937;0,5406;0,5778;0,5991;e1d34071-ac5c-4f1a-b2d6-af0692f1d9ce;False;
29455;1,199999;-0,0818;0,6330;-0,0759;19,1604;7,4835;0,2151;True;True;-0,0677;0,3600;0,1928;11,4475;42,3979;319,7343;0,3973;0,6958;1,0669;-138,4818;True;True;False;0,4525;0,0000;0,0000;0,0000;0,2487;0,1434;0,1611;0,1678;e1d34071-ac5c-4f1a-b2d6-af0692f1d9ce;False;
29465;1,339999;-0,0850;0,6330;-0,0795;19,0822;7,7602;1,7418;True;True;0,1045;0,4251;0,1184;24,2719;57,3257;342,3545;1,3424;0,6511;-0,6808;-172,9061;True;True;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;e1d34071-ac5c-4f1a-b2d6-af0692f1d9ce;False;
29475;1,479999;-0,0824;0,6342;-0,0785;18,0459;8,8658;2,1601;True;True;0,1166;0,3965;0,1167;1,6083;92,7069;12,9572;-0,6559;0,2053;0,1020;-170,9988;True;True;False;0,0074;0,0000;0,0000;0,0000;0,0254;0,0165;0,0563;0,0997;e1d34071-ac5c-4f1a-b2d6-af0692f1d9ce;False;
29485;1,619999;-0,0783;0,6324;-0,0751;18,8428;8,4769;1,0551;True;True;0,0353;0,4149;0,1440;18,6470;56,9144;347,2332;-0,9660;0,4750;-0,2318;169,9807;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5195;0,6111;0,6507;0,6372;e1d34071-ac5c-4f1a-b2d6-af0692f1d9ce;False;
29495;1,759999;-0,0785;0,6330;-0,0758;18,6549;6,7373;359,7195;True;True;-0,1276;0,4478;0,1405;19,2122;28,9500;288,6769;-0,6836;-0,1627;-0,1135;-149,9466;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5354;0,6458;0,6843;0,6867;e1d34071-ac5c-4f1a-b2d6-af0692f1d9ce;False;
29505;1,899999;-0,0850;0,6359;-0,0738;17,4544;4,8260;359,5173;True;True;-0,1476;0,3430;0,2029;12,2340;35,9143;333,5107;0,0365;0,5852;-0,1365;-136,2513;True;True;False;1,0000;1,0000;1,0000;1,0000;0,4948;0,5185;0,5690;0,5656;e1d34071-ac5c-4f1a-b2d6-af0692f1d9ce;False;
29515;2,039999;-0,0921;0,6345;-0,0765;17,9180;4,1707;1,5163;True;True;0,0007;0,4206;0,1575;18,6799;50,4186;347,7534;0,9159;1,0496;-0,9102;-176,3111;True;True;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;e1d34071-ac5c-4f1a-b2d6-af0692f1d9ce;True;
