INDEX;USER;DATE;FATIGUE VALUE;FATIGUE CLASSIFICATION
0;default;20231226_203341;0.0;LOW
1;default;20231226_203552;0.036;LOW
2;default;20231226_203714;0.071;LOW
3;default;20231226_203834;0.159;LOW
4;default;20231226_203957;0.239;LOW
5;default;20231226_204125;0.334;MODERATE
6;default;20231226_204244;0.46;MODERATE
7;default;20231226_204406;0.584;MODERATE
8;default;20231226_204521;0.698;HIGH
9;default;20231226_204637;0.86;HIGH
10;default;20231226_204812;0.914;VERY HIGH
11;default;20231226_204929;0.959;VERY HIGH
12;default;20231226_205101;1.0;VERY HIGH
