;Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly;NumRepeticion
0;62815.0;1.439999;-0.0671;0.6296;-0.0538;20.496;2.7446;2.7173;True;True;0.0596;0.4441;0.2023;11.4229;52.5986;350.3176;-0.7593;1.5529;-0.102;-170.0547;True;True;False;1.0;1.0;1.0;1.0;0.5304;0.633;0.6698;0.6674;25257394-1e10-480a-9a49-4b05305a75f6;False;1
1;62825.0;1.579999;-0.065;0.629;-0.0539;20.4805;2.5776;2.0636;True;True;-0.046;0.5027;0.1878;13.3229;36.0899;313.4118;-1.4274;-0.0794;-0.2264;-162.9618;True;True;False;1.0;1.0;1.0;1.0;0.517;0.5991;0.6423;0.6464;25257394-1e10-480a-9a49-4b05305a75f6;False;1
2;62835.0;1.719999;-0.0668;0.6287;-0.0533;20.743;0.3353;1.3663;True;True;-0.1582;0.3593;0.2293;16.6873;24.1791;294.4408;0.2454;-1.0491;0.0012;-128.4291;True;True;False;1.0;1.0;1.0;1.0;0.5467;0.5838;0.6141;0.6277;25257394-1e10-480a-9a49-4b05305a75f6;False;1
3;62845.0;1.859999;-0.0717;0.6272;-0.0521;21.3787;0.7421;1.7031;True;True;-0.0652;0.3891;0.2556;12.2535;39.6475;2.9657;0.1073;-0.4345;0.7735;171.2674;True;True;False;0.0;0.0;0.0;0.0;0.0084;0.0306;0.085;0.13;25257394-1e10-480a-9a49-4b05305a75f6;False;1
4;62855.0;1.999999;-0.0665;0.6302;-0.0549;20.5427;2.5054;2.6113;True;True;0.0229;0.4597;0.2332;22.1023;40.4857;0.5148;0.3047;-0.1831;0.1328;165.4695;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25257394-1e10-480a-9a49-4b05305a75f6;True;1
5;62865.0;2.139999;-0.0545;0.6319;-0.0537;19.8468;7.2755;4.6079;True;True;0.0828;0.4488;0.2059;24.2601;42.8484;357.7387;-0.0538;-0.0488;0.0907;162.7397;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25257394-1e10-480a-9a49-4b05305a75f6;False;1
6;62870.0;2.199999;-0.0493;0.6316;-0.0525;19.9323;8.7182;4.0111;True;True;0.0575;0.4541;0.2083;26.3094;41.1256;351.4021;-0.3501;0.0579;-0.1118;165.3252;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25257394-1e10-480a-9a49-4b05305a75f6;False;1
7;62875.0;2.279999;-0.0487;0.6292;-0.0538;21.2486;10.2603;3.2894;True;True;0.0621;0.4647;0.1845;18.5885;42.6326;349.5886;0.3306;0.0548;-0.3535;167.8732;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0065;0.0;25257394-1e10-480a-9a49-4b05305a75f6;False;1
8;62880.0;2.339998;-0.0525;0.629;-0.0554;21.3816;11.0148;3.3205;True;True;0.1227;0.4395;0.1665;5.956;49.4513;352.8739;1.9025;-1.1679;-0.015;-169.9248;True;True;False;0.2081;0.0;0.0;0.0;0.1679;0.1561;0.1584;0.159;25257394-1e10-480a-9a49-4b05305a75f6;False;1
9;62885.0;2.419998;-0.057;0.6312;-0.0556;20.2881;10.5616;4.2644;True;True;0.1585;0.4284;0.1312;358.7949;55.7235;7.968;-0.1854;-0.2574;0.1284;-165.6892;True;True;False;0.2001;0.0;0.0;0.0;0.1814;0.1743;0.1783;0.1784;25257394-1e10-480a-9a49-4b05305a75f6;False;1
10;62890.0;2.479998;-0.059;0.6318;-0.0551;19.6575;9.6945;4.6872;True;True;0.1407;0.4104;0.1448;344.5989;62.5607;30.1935;-0.4182;0.2685;-0.088;171.9826;True;True;False;0.5443;0.0744;0.0024;0.0;0.3038;0.2523;0.2477;0.2371;e529b96d-4dac-4e76-8e76-2ded7d8be614;False;2
11;62895.0;2.559998;-0.0575;0.6309;-0.0546;20.0051;8.7162;4.3671;True;True;0.1359;0.4483;0.1568;356.1242;73.9588;26.9921;0.0907;0.3395;0.4739;162.8944;True;True;False;1.0;0.9608;0.9125;0.7612;0.3782;0.355;0.3693;0.3439;e529b96d-4dac-4e76-8e76-2ded7d8be614;False;2
