USER;GAME;DATE;LEVEL;TIME;GENERATED_BLOCKS;SCORE_BLOCKS;ERROR_BLOCKS;HAND_RIGHT;AUTOGRIP;TRACKING_FILE;HMD_POSITION_X;HMD_POSITION_Y;HMD_POSITION_Z;HMD_ROTATION_X;HMD_ROTATION_Y;HMD_ROTATION_Z;LEVELCOMPLETED
daniel;BoxAndBlock;20240117_184352;1;60;51;53;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/daniel/TrackingData/OculusTracking_20240117_184352.csv;0,1585;1,0099;0,0387;12,1434;358,9392;0,3400;True

daniel;BoxAndBlock;20240117_184513;1;60;51;52;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/daniel/TrackingData/OculusTracking_20240117_184513.csv;0,1166;1,0240;0,0418;0,9177;0,3747;358,5689;True

daniel;BoxAndBlock;20240117_184704;1;60;48;45;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/daniel/TrackingData/OculusTracking_20240117_184704.csv;0,0782;1,0137;-0,0898;3,1297;0,3985;359,3748;True

daniel;BoxAndBlock;20240117_184842;1;60;54;54;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/daniel/TrackingData/OculusTracking_20240117_184842.csv;0,0786;0,9989;-0,0383;10,9083;359,6764;1,4634;True

daniel;BoxAndBlock;20240117_185002;1;60;69;49;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/daniel/TrackingData/OculusTracking_20240117_185002.csv;0,0855;1,0120;-0,0377;5,4901;1,2276;358,8661;True

daniel;BoxAndBlock;20240117_185139;1;60;60;60;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/daniel/TrackingData/OculusTracking_20240117_185139.csv;0,0173;1,0699;-0,0851;334,8267;0,8590;357,3651;True

daniel;BoxAndBlock;20240117_185310;1;60;54;53;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/daniel/TrackingData/OculusTracking_20240117_185310.csv;0,0026;1,0154;-0,0127;4,2512;0,0528;358,4796;True

daniel;BoxAndBlock;20240117_185429;1;60;45;45;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/daniel/TrackingData/OculusTracking_20240117_185429.csv;0,0038;0,9948;-0,0135;13,6117;3,5878;358,9498;True

daniel;BoxAndBlock;20240117_185557;1;60;57;58;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/daniel/TrackingData/OculusTracking_20240117_185557.csv;0,0042;0,9950;0,0119;12,8430;0,6472;359,5766;True

daniel;BoxAndBlock;20240117_185738;1;60;63;62;0;True;False;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/daniel/TrackingData/OculusTracking_20240117_185738.csv;-0,0008;1,0130;-0,0134;8,5320;358,4883;357,9780;True

