Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
38790;0,04;0,0555;1,0005;0,0271;13,6975;5,8629;358,6520;True;True;0,3387;0,5921;0,1702;38,7365;108,3155;351,6751;0,0664;-0,0390;0,1144;152,7489;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
38795;0,12;0,0606;0,9887;0,0326;19,8889;9,1642;359,4052;True;True;0,3377;0,5914;0,1729;39,0011;107,5192;349,3886;-0,0228;-0,0188;-0,0118;158,6075;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
38805;0,26;0,0669;0,9771;0,0417;25,4454;13,8060;0,6236;True;True;0,3411;0,5898;0,1731;42,5431;107,8559;346,0847;0,0210;0,0143;0,0110;158,8730;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
38810;0,34;0,0690;0,9740;0,0460;26,8284;15,2439;1,0601;True;True;0,3458;0,5940;0,1734;58,1717;97,6692;333,3298;0,0825;0,0635;-0,0081;157,6934;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
38815;0,4;0,0707;0,9714;0,0497;27,8143;15,9601;1,6013;True;True;0,3442;0,6093;0,1750;48,1287;78,5774;315,0216;-0,1701;0,5073;0,1157;153,8893;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
38825;0,54;0,0713;0,9690;0,0535;28,6576;16,2339;1,5852;True;True;0,3231;0,6536;0,1763;33,8347;67,9122;327,6418;0,2582;0,2011;0,0666;150,5067;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
38835;0,6799999;0,0649;0,9700;0,0539;27,9289;15,5190;2,0554;True;True;0,3340;0,6388;0,1915;15,7112;79,8501;352,2281;0,1678;-0,2205;0,0878;157,2762;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
38845;0,8199998;0,0573;0,9709;0,0525;27,4131;13,3525;2,4090;True;True;0,3090;0,6939;0,2206;10,0485;69,1399;324,5505;-0,2484;0,6401;0,1268;147,5762;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;cc0988e4-650a-454a-bd3c-7b997ee2e0f3;False;
38855;0,9599996;0,0515;0,9739;0,0499;26,4854;10,8381;1,5035;True;True;0,2405;0,7556;0,2670;9,3359;51,0068;299,9840;-0,5265;0,3045;0,1254;141,4300;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;cc0988e4-650a-454a-bd3c-7b997ee2e0f3;False;
38865;1,1;0,0457;0,9784;0,0477;25,0205;8,5220;359,4709;True;True;0,1068;0,7675;0,2644;25,2708;33,1378;306,5904;-0,5187;-0,1165;0,1382;-152,0178;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;cc0988e4-650a-454a-bd3c-7b997ee2e0f3;False;
38870;1,159999;0,0418;0,9801;0,0477;24,4450;7,6809;359,3654;True;True;0,0860;0,7313;0,2601;26,9040;35,6066;324,1060;-0,2141;-0,7608;-0,3978;-156,3006;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;cc0988e4-650a-454a-bd3c-7b997ee2e0f3;False;
38875;1,239999;0,0370;0,9804;0,0492;24,1115;7,3132;359,6009;True;True;0,0807;0,6850;0,2729;28,8680;38,5311;342,3381;-0,0989;-0,3613;0,1947;-160,5494;True;False;False;1,0000;1,0000;1,0000;0,9790;0,0000;0,0000;0,0000;0,0000;cc0988e4-650a-454a-bd3c-7b997ee2e0f3;False;
38885;1,379999;0,0292;0,9784;0,0535;24,5062;7,4281;1,1324;True;True;0,1451;0,7083;0,2682;27,9846;34,8616;357,1728;0,2322;0,6738;-0,7942;-147,8983;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
38890;1,439999;0,0277;0,9771;0,0546;24,7490;7,5432;2,2073;True;True;0,2045;0,7347;0,2387;36,7488;46,1951;359,5811;1,2234;0,2241;-0,0488;156,2029;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
38895;1,519999;0,0277;0,9765;0,0542;24,7915;7,4644;2,8044;True;True;0,2353;0,7396;0,2349;21,1020;57,4750;6,9719;0,2984;0,0079;0,0107;161,0190;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
38900;1,579999;0,0300;0,9770;0,0529;24,5063;7,2837;3,0030;True;True;0,2713;0,6841;0,2435;349,9970;55,8752;5,5120;0,9030;-1,9085;0,5719;-163,6644;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
38905;1,659999;0,0330;0,9772;0,0500;24,4223;6,9893;2,7799;True;True;0,2747;0,6721;0,2452;339,1509;44,3606;2,8239;-0,2511;0,0908;-0,1134;-150,7250;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
38910;1,719999;0,0357;0,9782;0,0475;23,9261;6,5908;2,3326;True;True;0,2348;0,6962;0,2414;353,6379;51,1742;357,8973;-0,5733;0,5576;0,2139;-152,6823;True;False;False;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;06b69d04-e6c3-4300-84b1-1ae3b1c49c76;False;
38920;1,859999;0,0398;0,9807;0,0446;23,5138;5,4887;0,1874;True;True;0,1903;0,7691;0,2481;9,7353;53,1789;332,1643;-0,5318;0,4142;0,1150;-164,0710;True;False;False;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;06b69d04-e6c3-4300-84b1-1ae3b1c49c76;False;
38930;1,999999;0,0400;0,9843;0,0442;22,3525;5,3363;358,2285;True;True;0,0911;0,7860;0,2494;24,5505;25,9834;300,7943;-0,8291;-0,2499;-0,0700;-153,7780;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;06b69d04-e6c3-4300-84b1-1ae3b1c49c76;False;
38940;2,139999;0,0343;0,9856;0,0448;22,0094;4,6301;357,6212;True;True;0,0476;0,7054;0,2864;29,9085;30,2055;334,2666;-0,0929;-0,4696;0,2256;-158,3464;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;06b69d04-e6c3-4300-84b1-1ae3b1c49c76;False;
38950;2,279999;0,0267;0,9851;0,0479;21,9673;4,0554;357,9020;True;True;0,0908;0,6876;0,2805;23,2236;38,4037;7,0474;0,1145;-0,0425;-0,0425;-154,7337;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
38960;2,419998;0,0236;0,9826;0,0475;22,6622;3,9505;359,5311;True;True;0,1675;0,7486;0,2212;17,1686;43,6721;4,7524;0,0659;0,7390;-0,6679;-154,4889;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
38970;2,559998;0,0250;0,9818;0,0434;22,5868;4,5869;0,4581;True;True;0,1549;0,7092;0,2503;3,8049;48,0215;16,9672;0,1209;-0,0800;0,2515;163,6540;True;False;False;1,0000;0,9863;0,9403;0,8929;0,0000;0,0000;0,0000;0,0000;29b2dda8-5ed8-45ac-836b-7a363988dc1a;False;
38975;2,619998;0,0262;0,9826;0,0424;22,2938;4,4782;0,3152;True;True;0,1617;0,7145;0,2463;6,9166;50,5694;9,2319;-0,0461;0,1127;-0,0915;162,2775;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;29b2dda8-5ed8-45ac-836b-7a363988dc1a;False;
38980;2,699998;0,0278;0,9836;0,0420;22,1545;4,4593;359,7107;True;True;0,1639;0,7247;0,2537;11,5607;50,9622;354,0701;0,0747;0,0670;0,0525;165,4270;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;29b2dda8-5ed8-45ac-836b-7a363988dc1a;False;
38985;2,759998;0,0296;0,9848;0,0422;21,8323;4,7476;358,8923;True;True;0,1414;0,7471;0,2628;13,5710;41,9741;326,9738;-0,6603;0,3198;0,1552;-162,6843;True;False;False;1,0000;1,0000;1,0000;0,9756;0,0000;0,0000;0,0000;0,0000;29b2dda8-5ed8-45ac-836b-7a363988dc1a;False;
38990;2,839998;0,0309;0,9857;0,0426;21,6327;5,1843;358,0254;True;True;0,1118;0,7607;0,2769;14,8483;32,6111;308,5114;-0,2205;0,1091;0,0969;-150,3228;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;29b2dda8-5ed8-45ac-836b-7a363988dc1a;False;
38995;2,899998;0,0315;0,9860;0,0430;21,6134;5,5522;357,4851;True;True;0,0806;0,7555;0,2643;16,5774;26,9699;305,0843;-0,7289;-0,2954;-0,3164;-145,9052;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;29b2dda8-5ed8-45ac-836b-7a363988dc1a;False;
39000;2,979998;0,0308;0,9861;0,0431;21,6969;5,7858;357,3950;True;True;0,0538;0,7261;0,2737;24,0642;26,6573;319,0386;-0,4042;-0,5534;0,4052;-149,6232;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;29b2dda8-5ed8-45ac-836b-7a363988dc1a;False;
39005;3,039998;0,0287;0,9859;0,0441;21,8019;5,7036;357,4880;True;True;0,0667;0,6937;0,2884;20,9288;29,8633;344,2802;0,5744;-0,3360;-0,0816;-152,1382;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
39010;3,119998;0,0261;0,9851;0,0460;21,9004;5,4559;357,9110;True;True;0,0754;0,6862;0,2903;16,6939;31,9494;10,3629;-0,0050;-0,2066;-0,0126;-151,9132;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
39015;3,179998;0,0242;0,9837;0,0473;22,4634;5,0255;358,6561;True;True;0,1070;0,6642;0,2739;27,6279;39,6079;353,3482;0,8026;-0,0044;-0,0989;-155,4603;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
39025;3,319998;0,0238;0,9825;0,0464;22,8089;5,0381;359,9046;True;True;0,1500;0,7615;0,2147;12,2148;48,8555;13,6071;-0,9270;1,4333;-0,7991;158,7134;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
39035;3,459997;0,0260;0,9827;0,0433;22,2133;4,8740;0,4399;True;True;0,1759;0,7058;0,2545;1,6119;49,2179;9,8786;0,4815;0,0754;0,0723;164,2096;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
39045;3,599997;0,0295;0,9848;0,0422;21,6975;4,3700;359,2573;True;True;0,1584;0,7630;0,2632;11,2527;44,8406;335,9325;-0,1391;0,2517;-0,0820;-162,0679;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;45c6bd63-a5ed-4fd0-b4f5-25f9222a6cec;False;
39055;3,739997;0,0310;0,9864;0,0424;21,3034;4,5234;357,5844;True;True;0,0791;0,7747;0,2551;26,3423;21,7676;299,3552;-0,4106;0,0725;-0,1414;-152,1292;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;45c6bd63-a5ed-4fd0-b4f5-25f9222a6cec;False;
39065;3,879997;0,0257;0,9874;0,0430;20,8720;4,0784;357,8683;True;True;0,0588;0,7074;0,2842;22,7229;29,0754;349,5051;0,0329;-0,2798;0,1054;-155,9498;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
39070;3,939997;0,0210;0,9874;0,0445;20,4534;3,7450;358,4153;True;True;0,0744;0,7000;0,2949;12,5535;21,8147;11,4184;0,2891;0,3929;-0,2004;-150,0748;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
39075;4,019997;0,0167;0,9861;0,0462;20,7118;2,7964;359,5478;True;True;0,1082;0,6705;0,2842;30,0839;32,2033;7,4210;0,4928;-0,3740;-0,1232;-149,3306;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
39080;4,079997;0,0143;0,9851;0,0466;21,1281;2,1946;0,1605;True;True;0,1437;0,7016;0,2795;27,5616;36,6561;2,1207;0,5547;1,0551;-0,1627;-150,4341;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
39085;4,159997;0,0134;0,9842;0,0459;21,3211;2,0257;0,7349;True;True;0,1339;0,7666;0,2127;22,8577;49,9088;14,9820;-0,0834;0,5560;-0,5752;156,7359;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
39090;4,219997;0,0135;0,9836;0,0447;21,3570;2,0707;1,2978;True;True;0,1271;0,7260;0,2340;2,3484;48,4493;21,1029;0,0941;-0,8152;0,9333;163,9383;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
39095;4,299997;0,0135;0,9835;0,0439;21,2561;1,9104;1,5703;True;True;0,1410;0,7134;0,2557;2,0511;46,0439;23,3630;0,0436;-0,0119;0,0564;161,1375;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
39100;4,359997;0,0140;0,9845;0,0436;21,0441;1,4933;1,4088;True;True;0,1405;0,7337;0,2624;5,4844;52,1237;7,2395;-0,1667;0,5758;0,3020;162,7844;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;82ebfd9c-ea35-48fa-b612-dbe78114e9cc;False;
39105;4,439997;0,0155;0,9860;0,0437;20,6212;1,4823;0,7070;True;True;0,1462;0,7376;0,2762;10,6288;48,7817;344,2630;0,0365;0,0393;0,0843;167,9011;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;82ebfd9c-ea35-48fa-b612-dbe78114e9cc;False;
39110;4,499997;0,0167;0,9873;0,0439;20,1960;1,7075;359,8612;True;True;0,1189;0,7546;0,2859;13,8039;39,1777;318,3655;-0,7733;0,5489;0,1673;-155,7382;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;82ebfd9c-ea35-48fa-b612-dbe78114e9cc;False;
