Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
37065;0,06;0,0300;0,9410;-0,0690;6,0804;5,5261;358,2281;True;True;0,2039;0,5492;0,1201;39,9070;48,3581;319,0443;-0,0009;-0,0020;0,0015;-149,7862;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
37070;0,14;0,0300;0,9411;-0,0688;6,1202;5,5287;358,3214;True;True;0,2034;0,5489;0,1194;39,1143;48,3202;318,6708;-0,0105;-0,0075;-0,0109;-149,6933;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
37075;0,22;0,0300;0,9400;-0,0689;6,9670;5,4691;358,3293;True;True;0,2036;0,5495;0,1193;39,9338;47,9435;318,7000;-0,0025;0,0035;-0,0020;-150,4414;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
37080;0,28;0,0303;0,9376;-0,0679;8,3562;5,8066;358,5404;True;True;0,2031;0,5495;0,1192;39,1941;48,2072;318,5014;-0,0115;-0,0069;-0,0047;-149,2297;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
37085;0,36;0,0306;0,9347;-0,0664;10,0954;6,6132;358,9759;True;True;0,2033;0,5491;0,1192;39,4999;48,1029;318,2167;0,0047;0,0041;0,0000;-149,2001;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
37090;0,42;0,0305;0,9306;-0,0645;12,7569;8,0213;359,6760;True;True;0,2073;0,5526;0,1233;37,2190;49,5047;316,3179;0,1183;0,0866;0,1841;-148,6344;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
37100;0,56;0,0285;0,9242;-0,0615;16,3066;10,1125;1,3599;True;True;0,2067;0,6058;0,1432;18,0106;57,2236;307,2944;-0,1291;0,1856;0,1167;-137,2116;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
37110;0,6999999;0,0226;0,9224;-0,0591;17,4266;10,1688;1,4528;True;True;0,1979;0,6078;0,1700;11,3456;76,1814;340,0119;-0,0427;0,2585;0,0601;-152,8524;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
37120;0,8399997;0,0169;0,9185;-0,0560;18,8139;8,9332;2,4686;True;True;0,1745;0,6847;0,1930;6,4048;67,6040;322,9735;-0,1442;0,3955;0,1068;-158,4225;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;d7eeb3b4-2a70-43c7-9cac-efe089085586;False;
37125;0,8999997;0,0169;0,9177;-0,0552;19,2659;9,1837;2,2419;True;True;0,1418;0,7312;0,1981;14,3305;53,3873;304,7287;-0,9001;0,3223;0,5500;-149,2399;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;d7eeb3b4-2a70-43c7-9cac-efe089085586;False;
