Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
32010;0,06;0,0605;0,9870;-0,0421;18,2231;357,2498;0,8132;True;True;0,1542;0,7739;0,1363;19,9391;61,5260;319,4832;0,0179;-0,0067;0,0078;-157,4148;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
32015;0,14;0,0605;0,9871;-0,0424;18,0939;357,3153;0,8256;True;True;0,1547;0,7736;0,1360;19,8932;61,5239;319,3498;0,0009;-0,0122;0,0002;-157,4635;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
32020;0,22;0,0603;0,9870;-0,0425;18,1243;357,3363;0,8400;True;True;0,1549;0,7736;0,1361;19,8445;61,1837;319,1238;0,0016;0,0030;0,0014;-157,3756;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
32025;0,28;0,0598;0,9869;-0,0424;18,1979;357,2970;0,8863;True;True;0,1558;0,7741;0,1364;19,5463;61,5860;319,4803;0,0322;0,0078;0,0022;-157,4772;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
32030;0,36;0,0587;0,9870;-0,0423;18,3005;357,4388;0,9230;True;True;0,1592;0,7747;0,1371;20,0192;60,6942;319,9775;0,0588;0,0277;0,0199;-157,8727;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
32035;0,42;0,0561;0,9881;-0,0418;18,3430;357,8522;0,8882;True;True;0,1658;0,7760;0,1369;20,0344;59,9164;323,3192;0,1370;-0,0099;-0,0467;-160,4966;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
32040;0,5000001;0,0520;0,9883;-0,0415;18,3528;357,7790;1,4695;True;True;0,1754;0,7702;0,1346;19,5088;60,8967;334,7584;0,1135;-0,0790;-0,0121;-166,1185;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
32045;0,56;0,0469;0,9878;-0,0411;18,3227;357,6822;1,9534;True;True;0,1854;0,7508;0,1325;14,1523;62,1451;350,0907;0,0983;-0,5090;0,1098;-171,6569;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
32050;0,6399999;0,0432;0,9862;-0,0415;18,7991;357,8449;2,9181;True;True;0,1935;0,7341;0,1418;10,3516;59,5161;359,3541;-0,0252;-0,1580;0,2865;175,0523;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
32055;0,6999999;0,0403;0,9848;-0,0429;19,3279;358,2793;3,4102;True;True;0,1892;0,7142;0,1620;9,2294;55,0442;3,4266;-0,2267;-0,1119;0,1001;172,7488;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
32065;0,8399997;0,0341;0,9848;-0,0438;19,2130;357,3654;3,9752;True;True;0,1818;0,7248;0,1684;14,9768;57,9357;354,8486;0,0176;0,4122;0,1776;176,4794;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;861ce6f6-c29f-4c69-bdd9-60b65868ef27;False;
32075;0,9799996;0,0325;0,9854;-0,0431;19,1219;357,4838;3,4210;True;True;0,1395;0,7751;0,1916;11,0720;50,4794;329,1529;-0,4183;-0,1719;0,7845;-156,9272;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;861ce6f6-c29f-4c69-bdd9-60b65868ef27;False;
32085;1,12;0,0319;0,9878;-0,0449;18,6834;357,5623;2,4024;True;True;0,0561;0,7814;0,1890;17,0185;33,6796;311,1489;-0,7729;-0,5976;0,0676;-145,7876;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;861ce6f6-c29f-4c69-bdd9-60b65868ef27;True;
32095;1,259999;0,0235;0,9889;-0,0462;17,7361;356,4854;3,1514;True;True;0,0864;0,7402;0,2267;15,8840;31,5106;340,6893;0,4701;0,1093;-0,0713;-147,9609;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
32105;1,399999;0,0167;0,9870;-0,0463;17,4530;355,0750;4,3048;True;True;0,1296;0,7141;0,2437;9,0546;44,1966;4,8669;0,0009;-0,1500;0,1438;-155,1235;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
