Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
8045;0,14;-0,0210;0,9947;0,0299;18,2835;4,9865;0,3231;True;True;0,1718;0,7086;0,1170;357,6182;45,3451;282,9498;0,0609;0,0449;-0,0301;113,0441;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8050;0,22;-0,0198;0,9922;0,0308;19,4031;5,9723;0,4799;True;True;0,1734;0,7105;0,1159;358,8457;43,7577;284,1353;-0,0036;0,0085;0,0094;114,1485;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8060;0,36;-0,0178;0,9875;0,0340;21,4369;7,7500;1,2362;True;True;0,1906;0,7069;0,1263;7,3136;50,3147;288,6306;0,0677;0,0497;0,0377;115,8703;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8070;0,5000001;-0,0186;0,9857;0,0352;22,2514;7,9230;1,2338;True;True;0,1772;0,7410;0,1803;24,4628;55,3147;313,2855;-0,1042;-0,0185;0,3330;136,8982;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8080;0,6399999;-0,0253;0,9879;0,0377;21,9055;6,9657;1,0434;True;True;0,1340;0,7476;0,2258;19,1307;64,5534;343,6754;-0,0792;-0,4966;0,6696;-151,8860;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8090;0,7799998;-0,0358;0,9858;0,0420;22,2710;4,9767;2,1856;True;True;0,1565;0,7088;0,2594;14,8427;60,7182;344,4619;-0,2334;0,7651;-0,3015;-140,1372;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8095;0,8399997;-0,0386;0,9840;0,0433;23,1590;4,4077;2,5111;True;True;0,1378;0,7615;0,2700;8,8697;62,1829;335,3766;-0,2335;0,7728;0,3714;-143,9330;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8100;0,9199997;-0,0396;0,9834;0,0432;23,4995;4,2703;2,6470;True;True;0,1148;0,8076;0,2745;11,2837;54,7356;316,5549;-0,2475;0,4011;0,0622;-144,0643;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8105;0,9799996;-0,0396;0,9848;0,0423;23,1110;4,1070;2,2143;True;True;0,0702;0,8300;0,2779;13,0011;36,4770;300,5423;-0,9003;0,3570;-0,0564;-141,4293;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8110;1,06;-0,0411;0,9860;0,0401;22,8953;3,8901;1,8421;True;True;0,0194;0,8305;0,2675;12,4247;27,9363;297,3388;-0,5060;-0,1749;-0,1392;-135,1891;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8115;1,12;-0,0447;0,9883;0,0387;22,4681;3,7889;2,1895;True;True;0,0008;0,8199;0,2630;10,4693;34,0264;307,7818;-0,1386;-0,2109;-0,0246;-133,2588;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8120;1,199999;-0,0507;0,9895;0,0384;21,5318;3,3949;2,6196;True;True;0,0303;0,8077;0,2544;14,2062;43,9558;331,4738;0,3498;-0,0782;-0,0738;-139,8885;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8125;1,259999;-0,0554;0,9885;0,0369;21,4609;2,9644;3,3869;True;True;0,0749;0,7924;0,2437;12,2628;55,7302;352,0078;0,6490;-0,2932;-0,0405;-146,6480;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8135;1,399999;-0,0585;0,9872;0,0345;21,3560;2,7922;4,7592;True;True;0,1110;0,7285;0,2664;354,9524;66,4259;3,1999;0,2424;0,3327;0,1145;-154,0369;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8145;1,539999;-0,0570;0,9880;0,0344;21,4331;2,5129;4,6318;True;True;0,0896;0,8125;0,2578;4,3733;65,3989;338,8081;-0,5998;1,1035;-0,3508;-148,0918;True;False;False;1,0000;1,0000;0,9498;1,0000;0,0000;0,0000;0,0000;0,0000;aff9487d-10fc-48aa-97c7-8c0aaad28c68;False;
8155;1,679999;-0,0558;0,9897;0,0361;21,0130;3,0333;2,9725;True;True;0,0266;0,8518;0,2786;7,3427;44,4227;310,6921;-0,5463;-0,1209;0,1875;-139,8256;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;aff9487d-10fc-48aa-97c7-8c0aaad28c68;False;
8165;1,819999;-0,0598;0,9910;0,0357;20,7202;2,6996;2,8598;True;True;-0,0589;0,8025;0,2689;14,3315;33,2799;319,4174;-0,0537;-0,3417;0,0771;-139,1083;True;False;False;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;aff9487d-10fc-48aa-97c7-8c0aaad28c68;False;
8175;1,959999;-0,0677;0,9912;0,0370;19,9895;1,5592;3,6586;True;True;-0,0156;0,7500;0,2822;14,7336;36,8738;355,8679;0,3094;-0,1022;-0,0550;-148,6273;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;True;
8180;2,019999;-0,0693;0,9899;0,0380;20,2387;1,0094;4,8260;True;True;0,0448;0,7589;0,2665;16,3658;45,6929;352,8462;1,0709;-0,1489;-0,2823;-150,4925;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8185;2,099999;-0,0684;0,9886;0,0372;20,5033;1,2051;5,4190;True;True;0,0748;0,7510;0,2582;9,2768;57,6930;354,0602;0,1012;-0,0886;0,0849;-149,8930;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8190;2,159999;-0,0666;0,9884;0,0360;20,4664;1,7323;5,7416;True;True;0,0882;0,7369;0,2620;5,2233;60,2587;356,7932;0,2710;-0,3179;0,1033;-153,5780;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
8195;2,239999;-0,0649;0,9887;0,0353;20,2725;1,9282;5,7475;True;True;0,0892;0,7568;0,2599;4,6480;60,5850;349,4101;-0,0510;0,3253;-0,0042;-148,8667;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
