USER;GAME;DATE;LEVEL;TIME;GENERATED_BLOCKS;SCORE_BLOCKS;ERROR_BLOCKS;HAND_RIGHT;AUTOGRIP;TRACKING_FILE;HMD_POSITION_X;HMD_POSITION_Y;HMD_POSITION_Z;HMD_ROTATION_X;HMD_ROTATION_Y;HMD_ROTATION_Z;LEVELCOMPLETED
siham;BoxAndBlock;20231230_181012;1;60;39;36;0;True;True;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/siham/TrackingData/OculusTracking_20231230_181012.csv;-0,0106;0,6979;-0,1016;6,5992;0,7255;0,4451;True

siham;BoxAndBlock;20231230_181126;1;60;48;47;0;True;True;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/siham/TrackingData/OculusTracking_20231230_181126.csv;-0,0365;0,6737;-0,0944;3,5289;0,5639;0,0261;True

siham;BoxAndBlock;20231230_181302;1;60;51;50;0;True;True;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/siham/TrackingData/OculusTracking_20231230_181302.csv;-0,0283;0,6638;-0,0864;4,8815;0,2416;355,4059;True

siham;BoxAndBlock;20231230_181437;1;60;54;54;0;True;True;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/siham/TrackingData/OculusTracking_20231230_181437.csv;-0,0688;0,6373;-0,0650;20,4581;359,4702;1,1760;True

siham;BoxAndBlock;20231230_181559;1;60;60;55;0;True;True;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/siham/TrackingData/OculusTracking_20231230_181559.csv;-0,0660;0,6497;-0,0497;20,3365;6,4114;1,4727;True

siham;BoxAndBlock;20231230_181725;1;60;60;55;0;True;True;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/siham/TrackingData/OculusTracking_20231230_181725.csv;-0,0680;0,6492;-0,0832;2,0760;3,8740;356,7302;True

siham;BoxAndBlock;20231230_181850;1;60;54;56;0;True;True;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/siham/TrackingData/OculusTracking_20231230_181850.csv;-0,0611;0,6449;-0,0770;6,6334;4,7860;356,5052;True

siham;BoxAndBlock;20231230_182048;1;60;54;53;0;True;True;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/siham/TrackingData/OculusTracking_20231230_182048.csv;-0,0545;0,6364;-0,0794;11,5353;2,6969;359,8820;True

siham;BoxAndBlock;20231230_182215;1;60;60;60;0;True;True;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/siham/TrackingData/OculusTracking_20231230_182215.csv;-0,0145;0,6467;-0,0620;10,6623;0,0747;358,9198;True

siham;BoxAndBlock;20231230_182344;1;60;57;56;0;True;True;/storage/emulated/0/Android/data/com.RehabImmersive.BoxAndBlock/BoxAndBlock/siham/TrackingData/OculusTracking_20231230_182344.csv;0,0024;0,6574;-0,0713;0,5005;9,9345;357,9045;True

