Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly
16690;0,08;-0,0455;0,6613;-0,0921;10,7832;5,1398;1,4453;True;True;0,1371;0,3913;0,0693;11,4791;57,7545;297,3931;0,3610;-0,2535;0,3419;-126,2682;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
16695;0,16;-0,0466;0,6569;-0,0892;13,7195;4,8850;1,5433;True;True;0,1591;0,3553;0,0902;9,1669;74,3131;303,7066;0,0914;-0,3866;0,1808;-127,7492;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
16705;0,3;-0,0456;0,6503;-0,0828;17,2396;3,9246;1,2908;True;True;0,1733;0,3016;0,0988;13,5864;83,1704;312,0857;-0,0444;-0,2853;-0,0200;-123,7896;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
16715;0,4400001;-0,0430;0,6471;-0,0796;18,9868;3,8927;0,9355;True;True;0,1623;0,3173;0,1047;14,9599;83,0209;319,2326;0,0488;0,4313;0,1362;-129,0851;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
16725;0,58;-0,0422;0,6466;-0,0793;19,3009;4,6928;1,0805;True;True;0,1072;0,3904;0,1076;14,7526;74,4219;333,9947;-0,4331;0,3571;-0,1349;-147,3533;False;False;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;False;
16735;0,7199998;-0,0468;0,6485;-0,0791;18,4567;4,8420;1,3894;True;True;0,1085;0,3819;0,1813;6,5447;80,6054;6,6638;0,1712;0,0862;0,2982;-163,8637;True;True;False;0,6304;0,3902;0,3497;0,0000;0,2895;0,3388;0,3504;0,3692;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16745;0,8599997;-0,0476;0,6487;-0,0804;18,6237;4,5662;1,4360;True;True;0,0548;0,4369;0,1314;14,1178;68,3579;315,9252;-0,3026;0,2504;0,0188;-156,2399;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5713;0,6335;0,6412;0,6043;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16755;0,9999996;-0,0454;0,6497;-0,0825;18,5643;3,4009;359,8888;True;True;-0,0671;0,3830;0,1266;19,7962;35,3317;279,4276;-0,4908;-0,8918;0,5535;-128,8333;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5090;0,5917;0,6314;0,6236;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16760;1,06;-0,0458;0,6505;-0,0818;18,0204;2,4388;359,3672;True;True;-0,0899;0,3292;0,1522;17,2952;35,0401;306,1612;-0,0421;-0,4589;0,1431;-121,9766;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5499;0,5662;0,5885;0,5901;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16765;1,14;-0,0486;0,6498;-0,0807;18,1128;2,2368;358,7479;True;True;-0,0609;0,3650;0,1514;22,5956;48,1780;357,4763;0,2053;0,0409;0,2118;-152,8907;True;True;False;0,5966;0,0000;0,0000;0,0000;0,2856;0,0278;0,0194;0,0242;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16770;1,199999;-0,0498;0,6494;-0,0814;18,3821;2,4184;0,0002;True;True;-0,0147;0,3585;0,1410;28,6233;43,6353;347,4787;1,0049;0,4370;-0,1906;-168,1734;True;True;False;0,1796;0,0000;0,0000;0,0000;0,0266;0,0000;0,0000;0,0000;e41d20cf-5838-43b3-92de-e96a73801ed6;True;
16775;1,279999;-0,0501;0,6505;-0,0817;17,8978;3,1299;0,4960;True;True;0,0296;0,4052;0,1313;26,0773;62,1164;340,9774;0,4526;0,1894;0,1867;-164,5097;True;True;False;0,2658;0,0000;0,0000;0,0000;0,0111;0,0000;0,0000;0,0000;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16780;1,339999;-0,0491;0,6511;-0,0816;17,5415;4,6777;1,5495;True;True;0,0839;0,4013;0,1524;27,5498;73,3241;347,1781;0,8191;-0,3729;0,5369;-164,1309;True;True;False;0,1179;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16785;1,419999;-0,0481;0,6508;-0,0820;17,6610;5,8970;2,3395;True;True;0,1158;0,3863;0,1697;24,9382;87,6139;352,8529;0,2895;-0,2429;0,2736;-164,7299;True;True;False;0,0612;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16790;1,479999;-0,0478;0,6511;-0,0810;17,5001;6,1219;2,4188;True;True;0,1320;0,3559;0,1808;9,4417;103,2072;359,1118;0,2011;-0,4257;0,0276;-162,7247;True;True;False;0,0347;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16795;1,559999;-0,0480;0,6503;-0,0801;17,8293;5,9878;2,2814;True;True;0,1205;0,3770;0,1849;10,9638;108,3211;16,2068;-0,1664;0,4415;-0,0452;162,1210;True;True;False;0,1043;0,0000;0,0000;0,0000;0,0167;0,0000;0,0000;0,0000;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16800;1,619999;-0,0485;0,6493;-0,0799;18,2702;6,0176;2,3815;True;True;0,1163;0,3702;0,1836;26,5880;90,1210;353,2132;-0,2366;-0,3210;-0,3246;166,9592;True;True;False;0,9810;0,4319;0,2197;0,0000;0,3233;0,2678;0,2485;0,2119;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16810;1,759999;-0,0505;0,6489;-0,0787;18,3667;6,1036;2,7108;True;True;0,1050;0,4104;0,1609;33,6338;72,1589;314,7535;0,4449;0,3858;0,1094;-146,2870;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5615;0,5723;0,5695;0,4640;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16820;1,899999;-0,0523;0,6493;-0,0790;18,3564;6,0117;3,0380;True;True;0,1279;0,4234;0,2032;30,7697;75,9641;301,6613;0,3607;-0,0322;0,7989;-134,5320;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5339;0,5738;0,5969;0,5703;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16830;2,039999;-0,0525;0,6498;-0,0790;18,1685;6,4391;3,5142;True;True;0,1524;0,3806;0,2564;5,3193;102,0395;5,5704;-0,0869;-0,2490;-0,0995;146,7658;True;True;False;0,1065;0,0000;0,0000;0,0000;0,1667;0,0913;0,1171;0,1339;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16840;2,179999;-0,0530;0,6497;-0,0786;18,1915;6,2088;3,2089;True;True;0,1653;0,3524;0,2625;8,5202;92,2010;5,7695;-0,4007;0,3720;-0,6143;-171,5396;True;True;False;0,8156;0,4934;0,3715;0,0000;0,3679;0,3840;0,3986;0,3645;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16850;2,319999;-0,0525;0,6494;-0,0783;18,3542;6,3731;3,4569;True;True;0,1536;0,3912;0,2418;35,3026;84,0683;332,0966;-0,1276;0,7039;-0,1869;155,0549;True;True;False;1,0000;1,0000;1,0000;0,6674;0,5725;0,4547;0,4213;0,2980;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16860;2,459998;-0,0503;0,6483;-0,0776;18,8602;6,2300;2,8024;True;True;0,0349;0,4290;0,2036;30,3289;47,8167;294,9900;-0,5219;0,0854;-0,1443;-144,7288;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5547;0,5879;0,5904;0,5579;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16865;2,519998;-0,0493;0,6483;-0,0776;18,8427;6,0085;2,2724;True;True;-0,0195;0,4097;0,1854;25,1377;38,8107;277,8048;-0,9566;-0,6976;-0,2876;-134,4097;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5376;0,5594;0,5644;0,5343;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16870;2,599998;-0,0488;0,6482;-0,0777;18,9614;5,3378;1,7666;True;True;-0,0639;0,3814;0,1784;16,6603;38,3891;289,0616;-0,0912;-0,4335;0,2024;-119,9502;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5424;0,5953;0,5920;0,5477;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16875;2,659998;-0,0502;0,6476;-0,0768;19,3958;5,0705;1,7946;True;True;-0,0448;0,3673;0,2196;12,0492;39,3084;327,9362;0,7940;-0,1660;2,0826;-131,5305;True;True;False;1,0000;1,0000;1,0000;0,9581;0,4366;0,4821;0,5220;0,5085;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16880;2,739998;-0,0536;0,6470;-0,0757;19,3642;5,2178;2,4949;True;True;-0,0196;0,4019;0,1786;17,3669;49,9669;8,7019;0,4511;-0,3156;-0,7512;-160,7276;True;True;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16885;2,799998;-0,0569;0,6466;-0,0763;19,8949;4,9546;3,1308;True;True;0,0681;0,4183;0,1303;23,5569;51,0748;348,8798;1,5861;0,8577;-0,8854;-166,1813;True;True;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16890;2,879998;-0,0593;0,6472;-0,0765;19,5717;5,1845;3,6759;True;True;0,1419;0,4397;0,0791;22,0979;56,6035;357,3962;0,7910;-0,1986;-0,7414;-170,2303;True;True;False;0,0577;0,0000;0,0000;0,0000;0,0121;0,0000;0,0000;0,0000;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16895;2,939998;-0,0605;0,6468;-0,0766;19,4147;6,3618;5,2659;True;True;0,1909;0,4442;0,0311;17,3188;61,3971;7,9449;0,7525;0,1408;-0,5164;-171,5334;True;True;False;0,0523;0,0000;0,0000;0,0000;0,0106;0,0000;0,0000;0,0000;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16905;3,079998;-0,0568;0,6456;-0,0749;20,1047;9,0492;7,0723;True;True;0,2414;0,4666;0,0463;10,6974;74,5010;12,9588;-0,1590;0,0525;0,8589;-168,8396;True;True;False;0,0000;0,0000;0,0000;0,0000;0,0581;0,0143;0,0128;0,0000;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16915;3,219998;-0,0518;0,6443;-0,0726;20,3353;10,8858;7,6904;True;True;0,2241;0,4255;0,1574;1,0071;79,7618;13,9899;-0,6729;0,0726;0,3911;-169,9346;True;True;False;0,0616;0,0000;0,0000;0,0000;0,1512;0,1482;0,1672;0,1833;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16925;3,359998;-0,0493;0,6433;-0,0714;20,5918;11,0535;6,8352;True;True;0,1586;0,4384;0,1565;16,3305;80,8475;50,9564;-0,0718;0,0548;0,1104;153,7851;True;True;False;0,3413;0,2887;0,3547;0,0000;0,3019;0,3870;0,4465;0,4443;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16935;3,499997;-0,0487;0,6426;-0,0705;20,8601;10,7783;6,6772;True;True;0,2247;0,4418;0,2210;45,7537;72,5761;36,6383;0,6474;-0,5102;0,6111;-135,0217;True;True;False;1,0000;1,0000;1,0000;0,0000;0,5439;0,5923;0,6296;0,6394;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16945;3,639997;-0,0487;0,6421;-0,0692;20,9515;10,5005;6,6257;True;True;0,2312;0,4229;0,2584;28,4194;64,1328;357,0997;-0,0326;-0,0205;0,0255;-152,9586;True;True;False;1,0000;1,0000;1,0000;0,0000;0,5579;0,6283;0,6873;0,7306;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16955;3,779997;-0,0481;0,6414;-0,0685;21,2117;10,2989;6,2860;True;True;0,1798;0,4345;0,2480;35,2427;62,8529;350,8832;-0,0825;0,0694;-0,0247;-157,5869;True;True;False;1,0000;1,0000;1,0000;0,0000;0,5675;0,6188;0,6917;0,7384;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16960;3,839997;-0,0476;0,6412;-0,0681;21,2273;10,1134;6,1071;True;True;0,1444;0,4401;0,2277;37,3580;47,3664;331,0470;-1,3277;0,2372;-0,9401;-155,7623;True;True;False;1,0000;1,0000;1,0000;0,0000;0,5986;0,6279;0,6759;0,7134;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16965;3,919997;-0,0467;0,6406;-0,0671;21,5113;9,9297;5,7342;True;True;0,0624;0,4407;0,2147;39,6884;35,7405;303,6025;-0,9620;-0,1581;-0,0420;-151,0900;True;True;False;1,0000;1,0000;1,0000;1,0000;0,6263;0,6808;0,6938;0,6996;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16970;3,979997;-0,0438;0,6388;-0,0605;22,0991;9,8825;4,9710;True;True;-0,0025;0,4071;0,1999;39,4688;30,4612;289,9838;-1,3185;-0,6503;-0,3157;-141,9792;True;True;False;1,0000;1,0000;1,0000;1,0000;0,6269;0,6991;0,7093;0,7136;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16975;4,059997;-0,0395;0,6332;-0,0437;23,2869;10,5352;5,1766;True;True;0,0310;0,3991;0,2240;13,8149;31,0146;340,6520;0,2354;0,0441;0,3645;-143,1568;True;True;False;1,0000;1,0000;0,9228;0,7239;0,3988;0,5296;0,5833;0,6044;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16980;4,119997;-0,0361;0,6282;-0,0270;26,4606;11,6875;6,4607;True;True;0,0860;0,4430;0,2205;24,7709;43,7022;21,2665;2,2001;0,4312;0,1229;-158,5869;True;True;False;0,0000;0,0000;0,0000;0,0000;0,0446;0,0016;0,0217;0,0000;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16985;4,199997;-0,0317;0,6278;-0,0110;27,6108;11,8747;7,1595;True;True;0,1778;0,4521;0,2460;24,8984;49,3300;357,3887;0,8783;0,0071;0,6025;-156,8123;True;True;False;0,0928;0,0000;0,0000;0,0000;0,0922;0,0328;0,0192;0,0000;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16990;4,259997;-0,0248;0,6281;0,0040;29,0296;12,6475;7,4666;True;True;0,2302;0,4656;0,2436;12,4678;62,5178;355,4626;0,8209;0,5065;-0,7606;-155,2222;True;True;False;0,4738;0,0000;0,0000;0,0000;0,2164;0,1700;0,1640;0,1539;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
16995;4,339997;-0,0165;0,6285;0,0212;29,9515;13,6622;7,9477;True;True;0,2609;0,4389;0,2588;358,8340;72,8451;6,8893;0,0941;-0,3335;-0,0051;-161,8702;True;True;False;0,3786;0,0000;0,0000;0,0000;0,2138;0,1891;0,1863;0,1739;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
17000;4,399997;-0,0074;0,6267;0,0392;32,2580;14,7340;8,4978;True;True;0,2602;0,4332;0,2394;2,6802;71,3023;13,8331;0,1867;-0,1946;-0,1298;-167,5400;True;True;False;0,0744;0,0000;0,0000;0,0000;0,1794;0,1323;0,1388;0,1474;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
17010;4,539997;0,0089;0,6189;0,0725;38,0489;16,8059;9,6088;True;True;0,2622;0,4133;0,2543;0,9367;66,8976;11,7114;-0,1669;-0,0391;0,0607;-165,0687;True;True;False;0,1502;0,0000;0,0000;0,0000;0,1695;0,1224;0,1262;0,1311;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
17020;4,679996;0,0206;0,6122;0,1033;41,3409;18,7943;10,9707;True;True;0,2564;0,4020;0,2614;1,4259;62,3494;3,9515;0,0225;-0,0974;0,0286;-163,8619;True;True;False;0,1575;0,0000;0,0000;0,0000;0,2075;0,1506;0,1626;0,1622;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
17030;4,819996;0,0263;0,6081;0,1283;42,0689;19,1361;11,3215;True;True;0,2516;0,3831;0,2601;3,1843;60,3143;2,9672;-0,0057;-0,1035;-0,0524;-163,1453;True;True;False;0,2956;0,0869;0,0742;0,0000;0,2558;0,2887;0,2932;0,2789;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
17040;4,959996;0,0276;0,6057;0,1394;43,5768;19,1682;11,4379;True;True;0,2411;0,3757;0,2782;0,1187;65,8881;359,8345;0,1005;-0,0139;0,1386;-163,9005;True;True;False;1,0000;1,0000;1,0000;1,0000;0,4693;0,5663;0,5785;0,5699;e41d20cf-5838-43b3-92de-e96a73801ed6;False;
17050;5,099996;0,0266;0,6029;0,1422;44,8450;19,4744;11,5840;True;True;0,2563;0,3797;0,3125;13,1820;66,7456;349,4939;-0,1200;0,1835;0,0089;-159,2601;True;True;False;1,0000;1,0000;1,0000;1,0000;0,6012;0,6753;0,7168;0,6953;39228de0-75e4-4928-a8c3-334bb31f6203;False;
17060;5,239996;0,0228;0,6032;0,1412;44,9152;18,8396;11,1501;True;True;0,2427;0,3980;0,3218;19,3747;65,5648;339,6233;-0,0756;-0,0052;-0,0252;-154,9530;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5474;0,6106;0,6489;0,6422;39228de0-75e4-4928-a8c3-334bb31f6203;False;
17070;5,379996;0,0171;0,6023;0,1369;46,6347;14,4671;7,7342;True;True;0,1901;0,4402;0,2777;28,0775;57,4626;334,0272;-1,2436;1,0521;-1,0895;-157,9683;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5411;0,5957;0,6339;0,6266;39228de0-75e4-4928-a8c3-334bb31f6203;False;
17075;5,439996;0,0164;0,6028;0,1306;47,3388;12,8925;5,9936;True;True;0,1008;0,4765;0,2608;29,6091;49,6548;329,3070;-2,2625;0,2643;-0,2547;-164,1002;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5017;0,5734;0,6037;0,5855;39228de0-75e4-4928-a8c3-334bb31f6203;False;
17080;5,519996;0,0147;0,6052;0,1233;47,1235;11,4530;5,2433;True;True;0,0039;0,4301;0,2447;32,4246;33,9548;314,3559;-1,1581;-0,5863;-0,0828;-156,0502;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5245;0,5605;0,5699;0,5333;39228de0-75e4-4928-a8c3-334bb31f6203;False;
17085;5,579996;0,0112;0,6098;0,1169;45,3606;10,6329;5,4439;True;True;-0,0453;0,3811;0,2139;21,5596;22,0879;312,1613;-0,6147;-0,6469;-0,3653;-142,0148;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5094;0,5196;0,5200;0,4748;39228de0-75e4-4928-a8c3-334bb31f6203;False;
17090;5,659996;0,0031;0,6146;0,1128;44,3608;9,6509;5,1558;True;True;-0,0285;0,3631;0,3158;12,3379;18,1496;349,4843;0,1116;0,1191;0,5241;-146,9918;True;True;False;0,2922;0,0000;0,0000;0,0000;0,2220;0,1856;0,2103;0,1933;39228de0-75e4-4928-a8c3-334bb31f6203;True;
17095;5,719995;-0,0063;0,6202;0,1110;42,5535;8,2971;5,5640;True;True;0,0056;0,4335;0,2713;12,5005;27,2384;7,5170;0,5812;-0,7020;0,8342;168,1026;True;True;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;39228de0-75e4-4928-a8c3-334bb31f6203;False;
17100;5,799995;-0,0139;0,6254;0,1072;40,9332;6,9662;5,8982;True;True;0,0753;0,4597;0,2747;15,3249;32,9711;356,0081;0,2471;0,7736;-0,1911;-165,0283;True;True;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;39228de0-75e4-4928-a8c3-334bb31f6203;False;
17105;5,859995;-0,0201;0,6311;0,1035;38,8789;5,5885;5,7627;True;True;0,1032;0,4571;0,2520;25,3456;49,7951;12,0770;1,3644;-0,4528;-0,9541;-170,5042;True;True;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;39228de0-75e4-4928-a8c3-334bb31f6203;False;
17115;5,999995;-0,0254;0,6404;0,0884;34,8227;3,7642;6,4566;True;True;0,1661;0,4069;0,2605;21,2585;51,8220;2,4023;-0,0326;0,1095;-0,3987;-162,0744;True;True;False;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;39228de0-75e4-4928-a8c3-334bb31f6203;False;
17125;6,139995;-0,0245;0,6470;0,0646;31,0515;2,7311;6,6792;True;True;0,1306;0,3593;0,2614;11,5647;46,8837;7,8746;-0,2950;-0,0442;0,0251;-160,3974;True;True;False;0,2164;0,0000;0,0000;0,0000;0,1951;0,1785;0,2114;0,2178;12957fe5-832a-4e02-86d1-ac877f370b1c;False;
17135;6,279995;-0,0255;0,6506;0,0422;28,7887;1,9219;6,0405;True;True;0,0929;0,3995;0,2637;25,7760;42,4772;347,9402;-0,0598;0,6869;-0,0418;-159,8280;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5286;0,6484;0,6873;0,6554;12957fe5-832a-4e02-86d1-ac877f370b1c;False;
17145;6,419995;-0,0259;0,6502;0,0257;28,0193;1,4190;4,8433;True;True;0,0370;0,4650;0,2656;33,9977;27,6854;307,7998;-0,6213;-0,2890;-0,3591;-157,9197;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5068;0,5773;0,6193;0,6316;12957fe5-832a-4e02-86d1-ac877f370b1c;False;
17150;6,479995;-0,0256;0,6495;0,0181;27,6433;1,5424;4,6024;True;True;-0,0525;0,4298;0,2123;33,0997;17,3868;287,4894;-1,7020;-0,7391;-0,7572;-146,8765;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5007;0,5591;0,5885;0,5727;12957fe5-832a-4e02-86d1-ac877f370b1c;False;
17155;6,559995;-0,0282;0,6465;0,0122;27,5393;1,1399;4,2104;True;True;-0,0484;0,3576;0,2033;21,0101;19,7981;308,8317;0,3343;-0,1781;0,2500;-132,7769;True;True;False;1,0000;1,0000;1,0000;1,0000;0,5187;0,5528;0,5649;0,5318;12957fe5-832a-4e02-86d1-ac877f370b1c;False;
17160;6,619995;-0,0341;0,6435;0,0103;27,6739;0,0158;4,0755;True;True;-0,0363;0,3729;0,2532;17,8120;25,5036;3,2168;0,2968;2,0221;0,0288;-137,0902;True;True;False;0,1714;0,0000;0,0000;0,0000;0,2032;0,2750;0,3699;0,4106;12957fe5-832a-4e02-86d1-ac877f370b1c;False;
