Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;NumRepeticion
1920;0,06;-0,0117;1,1313;0,0003;31,4521;350,9041;358,5066;True;True;0,0834;0,6327;0,0749;38,9686;57,5238;336,012;-0,0022;-0,0037;0,0098;-140,5611;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
1925;0,14;-0,0098;1,1297;0,0022;32,0444;350,1037;357,9042;True;True;0,0849;0,6315;0,0746;38,9199;57,2216;336,2989;0,0115;-0,0077;-0,0166;-140,9800;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
1930;0,2;-0,0079;1,1292;0,0038;32,1775;349,7678;357,4626;True;True;0,085;0,63;0,0753;39,5722;56,8494;335,571;0,0;0,0027;0,0258;-140,8229;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
1935;0,28;-0,0064;1,1287;0,0053;32,2344;349,5706;357,1261;True;True;0,0847;0,6302;0,0755;39,7155;56,9776;335,6485;-0,0066;0,0017;0,0021;-140,7165;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
1940;0,34;-0,0043;1,1277;0,0064;32,4315;349,7754;356,9726;True;True;0,0853;0,6303;0,0757;38,9982;56,6964;335,3853;0,0094;-0,0071;0,008;-140,6146;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
1945;0,42;-0,0008;1,1267;0,0077;33,1254;352,4451;358,1669;True;True;0,0857;0,6302;0,0754;39,0166;56,2936;335,0647;0,0039;0,0048;-0,0038;-140,6481;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
1950;0,4800001;0,0039;1,126;0,0097;32,8305;356,6146;0,2981;True;True;0,0855;0,6297;0,0755;39,9249;55,5119;333,5525;-0,0022;-0,011;0,0023;-140,3404;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
1955;0,56;0,0053;1,127;0,0102;32,7425;359,5675;1,8892;True;True;0,0883;0,628;0,0719;40,326;52,4641;328,7563;0,0657;-0,0184;-0,0878;-139,3129;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
1960;0,6199999;0,0031;1,1249;0,0134;32,7772;0,0766;2,9735;True;True;0,1049;0,6562;0,0446;40,6713;41,0689;320,643;0,4593;1,0271;-0,7811;-137,7494;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
1965;0,6999999;-0,0008;1,119;0,0172;35,2973;358,8232;3,7267;True;True;0,1183;0,7739;-0,0065;46,6773;20,9983;303,8083;0,3543;1,7315;-0,3297;-139,0776;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
1970;0,7599998;-0,0037;1,1138;0,0162;37,6906;357,5222;3,076;True;True;0,1402;0,8619;0,0047;36,9609;10,7101;298,1154;0,3067;1,5033;0,566;-148,0180;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
1975;0,8399997;-0,0063;1,1142;0,013;38,2989;357,6649;2,132;True;True;0,1709;0,911;0,0785;16,6778;13,4606;296,5993;0,357;0,6883;0,6445;-145,5746;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
1980;0,8999997;-0,0103;1,118;0,009;37,4128;359,1275;2,9505;True;True;0,165;0,9067;0,1365;17,0061;19,2632;307,4412;0,1894;-0,1003;1,1189;-146,0100;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
1985;0,9799996;-0,016;1,1231;0,0052;35,9995;0,0424;4,0075;True;True;0,1432;0,8771;0,2278;22,2536;40,7812;335,6335;-0,1167;-0,2413;0,7081;-164,5946;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
1990;1,04;-0,0225;1,1282;0,0055;33,962;0,3631;4,8063;True;True;0,13;0,8141;0,2893;357,3224;48,1092;359,657;-0,6246;-0,8557;0,7416;-175,7107;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
2000;1,179999;-0,037;1,1283;0,0176;32,5883;357,1322;4,2174;True;True;0,1184;0,7835;0,3123;349,2871;39,8824;11,196;-0,0991;-0,1462;0,1569;174,1018;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
2005;1,259999;-0,0395;1,1241;0,0242;32,9301;356,6842;4,1069;True;True;0,1195;0,8013;0,2912;1,3128;42,1183;7,3939;-0,0394;0,0734;-0,0438;-172,9994;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
2010;1,319999;-0,0379;1,1197;0,0287;33,8854;358,2626;4,3576;True;True;0,1219;0,8044;0,2853;3,5938;44,9972;9,2671;0,0259;-0,0275;0,0011;173,5048;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
2015;1,399999;-0,0354;1,1181;0,0307;34,0448;359,9118;4,9549;True;True;0,1226;0,7978;0,284;343,3148;44,0194;4,8821;0,0156;-0,1343;-0,0363;-175,0053;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
2020;1,459999;-0,0337;1,1187;0,03;32,9083;0,9789;5,4744;True;True;0,1216;0,7929;0,2869;346,3069;46,939;5,3056;-0,0617;-0,075;0,1445;-176,4466;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
2025;1,539999;-0,0343;1,1211;0,0249;32,8174;1,2044;5,7628;True;True;0,1134;0,7704;0,3155;351,5921;47,6239;9,1989;-0,0755;-0,2337;0,2709;-177,4996;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
2030;1,599999;-0,038;1,1243;0,0185;32,6455;0,8668;5,7988;True;True;0,0991;0,7507;0,3273;355,0241;49,6324;12,4385;-0,2391;-0,4451;0,0734;-176,6223;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
2035;1,679999;-0,0422;1,1278;0,0147;32,046;359,9525;5,8304;True;True;0,094;0,7114;0,346;354,9572;54,816;20,3215;-0,0327;-0,406;0,2575;-178,7129;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
2040;1,739999;-0,0454;1,1298;0,0142;31,6175;359,3552;5,5869;True;True;0,0909;0,7166;0,3585;358,9568;55,2132;20,2967;-0,0876;0,5711;-0,1684;-178,9226;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
2045;1,819999;-0,0464;1,1282;0,0157;32,0608;359,5978;5,3067;True;True;0,1097;0,7167;0,3575;9,723;54,607;16,3536;0,1941;-0,1382;0,1134;-175,4355;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
2050;1,879999;-0,0475;1,1253;0,0202;32,62;359,97;5,5779;True;True;0,1135;0,7635;0,3376;7,8731;49,6841;10,9933;-0,1204;2,255;-1,2083;-169,6985;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
2060;2,019999;-0,0441;1,1193;0,0248;35,1802;354,5189;2,763;True;True;0,0855;0,9076;0,2815;358,5391;39,5104;344,1317;-0,7453;0,9898;-0,0261;-158,7562;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
2070;2,159999;-0,0404;1,1235;0,0124;33,5388;341,9607;355,1953;True;True;-0,0453;0,8898;0,2696;357,4892;27,1533;336,8602;-1,7616;-0,5172;0,0942;-159,1194;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
2080;2,299999;-0,0432;1,1303;0,0001;31,6292;332,9934;351,7486;True;True;-0,1462;0,7862;0,286;349,8917;12,941;340,2023;-0,3571;-0,8699;0,3099;-154,9432;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
2090;2,439998;-0,0391;1,1346;0,0028;31,7238;337,2261;354,3023;True;True;-0,1635;0,7532;0,2867;355,0464;17,1113;6,2284;0,1583;-0,1366;0,0792;-175,2844;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
2095;2,519998;-0,0339;1,1317;0,0112;32,2856;344,5672;356,337;True;True;-0,1487;0,7681;0,2745;351,6548;20,8629;19,6587;0,2157;0,2939;-0,228;174,2203;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
2105;2,659998;-0,0264;1,1171;0,0203;38,0377;2,5364;5,9916;True;True;-0,0294;0,9121;0,2523;351,6838;23,5512;14,9583;0,7786;0,9712;-0,3566;167,8382;False;False;False;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0
