;Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly;NumRepeticion
0;77415;1.08;-0.0094;0.9306;0.0103;19.2933;5.8932;359.1636;True;True;0.0997;0.7188;0.2665;22.3064;43.1946;301.0823;-0.326;0.245;-0.1016;-144.3009;True;False;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;c27da117-0a78-402c-a922-4b268f03b248;False;1
1;77425;1.219999;-0.0124;0.9317;0.0092;18.8915;7.4997;359.6234;True;True;0.07;0.6457;0.257;24.8279;31.1546;320.5433;0.3076;-0.523;-0.2124;-147.6042;True;False;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;c27da117-0a78-402c-a922-4b268f03b248;False;1
2;77435;1.359999;-0.0173;0.9289;0.0121;19.7178;9.4909;1.8582;True;True;0.1628;0.6531;0.2072;26.8167;59.7707;356.5879;0.4497;0.0315;-0.2617;-165.5272;False;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;True;1
3;77445;1.499999;-0.0173;0.9269;0.0112;20.5901;9.9519;3.1508;True;True;0.2375;0.6477;0.1964;15.7917;82.3801;0.7275;0.0182;0.0002;0.0793;-168.8713;False;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;False;1
4;77455;1.639999;-0.0146;0.9276;0.0123;20.3843;9.2458;2.3048;True;True;0.2119;0.6932;0.2485;9.2306;77.3507;338.1074;-0.2499;0.3543;-0.0501;-163.2849;True;False;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;cc5447af-3148-4db7-b665-a9fe5e704f9c;False;2
5;77460;1.699999;-0.0135;0.9276;0.0112;20.4616;8.8677;1.2808;True;True;0.1434;0.7329;0.2381;16.9667;62.1762;318.9466;-1.3729;0.2427;0.4662;-159.0315;True;False;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;cc5447af-3148-4db7-b665-a9fe5e704f9c;False;2
6;77465;1.779999;-0.014;0.9286;0.0105;20.2065;8.4377;0.7991;True;True;0.0912;0.7345;0.2547;20.9673;37.5452;293.3517;-0.4983;0.0126;0.0834;-152.2417;True;False;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;cc5447af-3148-4db7-b665-a9fe5e704f9c;False;2
7;77470;1.839999;-0.0161;0.9295;0.0095;19.9371;8.1592;0.4055;True;True;0.0435;0.7067;0.2443;21.475;28.9827;298.9084;-0.8573;-0.7245;-0.2848;-147.4577;True;False;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;cc5447af-3148-4db7-b665-a9fe5e704f9c;False;2
8;77475;1.919999;-0.0198;0.93;0.0096;19.5479;8.2967;0.4977;True;True;0.0474;0.6451;0.2503;21.367;33.6473;326.6931;0.0073;-0.5568;0.0496;-145.6835;True;False;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;cc5447af-3148-4db7-b665-a9fe5e704f9c;False;2
9;77480;1.979999;-0.0239;0.9294;0.0111;19.4915;8.3046;1.0487;True;True;0.1135;0.6253;0.2933;20.767;46.4648;355.6632;2.0877;-0.6543;1.5263;-149.2024;False;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;False;2
10;77485;2.059999;-0.0277;0.9283;0.0118;19.8602;7.3914;2.0524;True;True;0.1689;0.6442;0.2504;20.8584;65.7316;357.049;0.2167;0.118;0.1881;-154.4905;False;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;True;2
11;77490;2.119999;-0.0292;0.928;0.0109;20.0786;6.3021;2.5113;True;True;0.2534;0.6381;0.2565;21.3342;84.4386;349.8679;1.6667;-0.4012;0.7684;-157.73;False;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;False;2
12;77495;2.199999;-0.0288;0.9291;0.0099;19.7867;6.3359;2.4381;True;True;0.2543;0.6356;0.2652;18.7632;102.1273;354.7624;-0.0667;-0.0205;0.0039;160.2799;True;False;False;1.0;0.3297;0.2567;0.2876;0.0;0.0;0.0;0.0;3c495648-8b2b-4302-9e8a-0edc0ca411cf;False;3
13;77500;2.259999;-0.0273;0.9295;0.0104;19.5213;5.988;2.2065;True;True;0.2674;0.6414;0.2993;12.0528;102.3984;345.6372;1.1248;-0.665;1.3965;-162.4055;True;False;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;3c495648-8b2b-4302-9e8a-0edc0ca411cf;False;3
14;77510;2.399998;-0.0227;0.9283;0.0093;20.241;5.7961;0.6036;True;True;0.1585;0.7198;0.2855;11.753;61.063;300.1811;-2.068;0.4596;-0.2792;143.4645;True;False;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;3c495648-8b2b-4302-9e8a-0edc0ca411cf;False;3
15;77520;2.539998;-0.0218;0.9291;0.0084;20.2841;6.7638;359.9925;True;True;0.0614;0.7125;0.2784;17.0163;33.5227;298.8697;-0.1749;-0.3626;-0.06;-135.0962;True;False;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;3c495648-8b2b-4302-9e8a-0edc0ca411cf;False;3
16;77530;2.679998;-0.0253;0.9284;0.0104;20.0742;8.4243;0.986;True;True;0.0761;0.6336;0.2645;25.0207;46.7876;353.9276;0.1908;-0.0901;-0.0238;-150.8249;False;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;True;3
17;77540;2.819998;-0.0261;0.9256;0.0108;21.0668;9.1138;2.5478;True;True;0.1991;0.644;0.2159;18.2843;62.3101;357.8008;-0.0806;0.3876;-0.5096;-151.5697;False;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;False;3
18;77545;2.879998;-0.025;0.9264;0.0095;20.804;9.6056;2.5795;True;True;0.2109;0.6744;0.2032;8.8802;77.8255;2.681;0.2022;0.4416;0.3478;-167.44;False;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;False;3
19;77550;2.959998;-0.0237;0.9274;0.0088;20.4702;9.803;2.5102;True;True;0.2091;0.6789;0.2289;0.4567;83.183;342.5979;0.0111;0.2485;0.7355;-166.272;False;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;False;3
20;77555;3.039998;-0.022;0.9282;0.0085;20.2163;9.6117;1.6509;True;True;0.2026;0.7274;0.242;10.0016;68.2589;322.2703;-0.3277;0.2072;0.0084;-158.8081;True;False;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;00dff09d-c849-42e7-9472-a07a2a8a7f84;False;4
21;77565;3.179998;-0.0227;0.9292;0.0066;19.9788;9.0433;0.7569;True;True;0.0878;0.7193;0.2625;21.4634;37.1448;292.3309;-0.4152;-0.1059;0.1035;-139.1187;True;False;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;00dff09d-c849-42e7-9472-a07a2a8a7f84;False;4
22;77575;3.319998;-0.0274;0.9293;0.0076;19.7765;8.6144;0.8901;True;True;0.0625;0.638;0.2356;28.2805;37.5052;334.9698;0.5097;-0.4041;-0.2721;-145.3728;True;False;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;00dff09d-c849-42e7-9472-a07a2a8a7f84;False;4
23;77585;3.459997;-0.0304;0.9264;0.01;20.783;9.084;2.4278;True;True;0.1694;0.6428;0.215;16.2015;67.074;7.8697;0.5865;-0.0229;-0.0599;-163.8457;False;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;True;4
24;77590;3.519997;-0.0312;0.9262;0.0096;21.0246;8.6318;2.9233;True;True;0.2492;0.6464;0.2136;10.9;78.1728;0.9731;1.3539;0.092;0.0044;-164.5439;False;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;False;4
25;77595;3.599997;-0.0301;0.9276;0.0077;20.7834;8.4554;2.9517;True;True;0.2408;0.6739;0.1877;3.7042;91.3364;356.7389;-0.1167;0.3757;-0.2504;-166.3694;True;False;False;1.0;1.0;1.0;0.9435;0.0;0.0;0.0;0.0;f42ece45-58cd-4f6b-a0a7-2f81c00e27af;False;5
26;77600;3.659997;-0.0281;0.9284;0.0063;20.5628;8.2149;2.6304;True;True;0.2502;0.7102;0.2119;6.4724;89.3718;347.3895;0.0335;0.5023;0.6458;168.6667;True;False;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;f42ece45-58cd-4f6b-a0a7-2f81c00e27af;False;5
27;77605;3.739997;-0.0261;0.9289;0.0056;20.3026;8.2068;1.783;True;True;0.2133;0.7309;0.2276;9.8028;79.4864;329.2262;-1.1939;0.5109;0.0311;157.4389;True;False;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;f42ece45-58cd-4f6b-a0a7-2f81c00e27af;False;5
28;77610;3.799997;-0.0249;0.9292;0.0051;20.0872;8.2505;0.7166;True;True;0.1434;0.7428;0.2366;11.3979;61.8907;305.1703;-1.4698;-0.1976;0.3747;-146.7409;True;False;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;f42ece45-58cd-4f6b-a0a7-2f81c00e27af;False;5
